batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_loss,train_main_loss,train_vae_loss,val_loss
,,,,,,0,49,2.7639636993408203,2.062282085418701,0.7016816139221191,
0.17090436816215515,79.57073211669922,1.063856840133667,11.687846183776855,0.09102249145507812,5.85122537612915,0,99,1.7156872749328613,1.5170451402664185,0.19864211976528168,
,,,,,,1,149,1.8912358283996582,1.7729884386062622,0.118247389793396,
0.12516742944717407,32.05941390991211,0.24737143516540527,4.086986541748047,0.06052660942077637,7.989298343658447,1,199,1.0265952348709106,0.9616284370422363,0.06496678292751312,
0.14870138466358185,26.1444034576416,0.22681665420532227,2.696444511413574,0.08411693572998047,6.724886417388916,1,249,1.4130381345748901,1.3442882299423218,0.06874994188547134,
,,,,,,2,299,1.113338589668274,1.053670048713684,0.05966849625110626,
0.1326320916414261,39.22319793701172,0.32642507553100586,5.782856464385986,0.05644702911376953,7.539653301239014,2,349,1.16593599319458,1.107250452041626,0.05868558585643768,
0.14135730266571045,24.354402542114258,0.21201586723327637,2.342146158218384,0.09052205085754395,7.074272155761719,2,399,0.9433088302612305,0.8952864408493042,0.04802235960960388,
,,,,,,3,449,1.4275853633880615,1.3660411834716797,0.06154416501522064,
0.13318099081516266,31.013669967651367,0.22961735725402832,3.6835734844207764,0.06233549118041992,7.508578777313232,3,499,1.2004613876342773,1.1545219421386719,0.04593943431973457,
0.1528884768486023,30.53407096862793,0.29057765007019043,3.760164976119995,0.07727789878845215,6.540715217590332,3,549,1.2990752458572388,1.252602219581604,0.04647297412157059,
,,,,,,4,599,0.9271203279495239,0.8924081325531006,0.034712210297584534,
0.14872482419013977,57.96190643310547,0.8958094120025635,15.87098503112793,0.056443214416503906,6.723826885223389,4,649,0.9562081098556519,0.9216397404670715,0.03456834331154823,
0.1448008418083191,29.949764251708984,0.2679321765899658,3.3127641677856445,0.08087873458862305,6.906036853790283,4,699,1.2912523746490479,1.2482235431671143,0.0430288091301918,
,,,,,,5,749,1.161208152770996,1.1238503456115723,0.03735774755477905,
0.12706366181373596,29.17559814453125,0.19497370719909668,3.0251362323760986,0.06445121765136719,7.870070934295654,5,799,1.3113476037979126,1.2721234560012817,0.03922414779663086,
0.17986446619033813,29.038497924804688,0.32039856910705566,3.8051698207855225,0.08420085906982422,5.559741973876953,5,849,1.2296710014343262,1.1926076412200928,0.03706340864300728,
,,,,,,6,899,1.1573848724365234,1.124894142150879,0.03249078989028931,
0.143816739320755,29.832664489746094,0.23186612129211426,3.553131580352783,0.06525683403015137,6.953293323516846,6,949,1.0018081665039062,0.9727350473403931,0.029073134064674377,
0.1612294763326645,25.33722686767578,0.23752951622009277,2.678976058959961,0.08866429328918457,6.202340126037598,6,999,0.9119361639022827,0.884392499923706,0.027543647214770317,
,,,,,,7,1049,0.9146350026130676,0.8878936767578125,0.026741309091448784,
0.13883638381958008,28.93032455444336,0.21543216705322266,3.086361885070801,0.06980133056640625,7.202723503112793,7,1099,1.1050570011138916,1.0767531394958496,0.02830388769507408,
0.15946133434772491,23.91044044494629,0.2473461627960205,2.816702365875244,0.0878140926361084,6.271112442016602,7,1149,1.1098624467849731,1.078189730644226,0.03167276084423065,
,,,,,,8,1199,0.9237212538719177,0.9001061916351318,0.023615039885044098,
0.14730244874954224,31.11129379272461,0.31034231185913086,4.657071113586426,0.06663894653320312,6.788753509521484,8,1249,1.238627552986145,1.209450125694275,0.029177408665418625,
0.1284111887216568,29.00145721435547,0.20726466178894043,2.7964184284210205,0.07411789894104004,7.787483215332031,8,1299,0.9500539898872375,0.9262031316757202,0.02385083958506584,
,,,,,,9,1349,0.8403499722480774,0.8173424005508423,0.02300754375755787,
0.12693104147911072,36.1253776550293,0.2976541519165039,4.681530952453613,0.06358051300048828,7.878293514251709,9,1399,0.9231356978416443,0.9013899564743042,0.021745715290308,
0.18054507672786713,66.37344360351562,0.9735820293426514,10.46203327178955,0.09305858612060547,5.538783073425293,9,1449,1.572323203086853,1.5380737781524658,0.034249380230903625,
,,,,,,10,1499,1.1875075101852417,1.1619305610656738,0.025576988235116005,
0.12100415676832199,36.43038558959961,0.3311293125152588,4.992673873901367,0.06632304191589355,8.264179229736328,10,1549,0.9166065454483032,0.8958021402359009,0.02080441638827324,
0.13504797220230103,26.647003173828125,0.22923707962036133,2.6961569786071777,0.08502364158630371,7.404775619506836,10,1599,1.0728681087493896,1.04753839969635,0.025329723954200745,
,,,,,,11,1649,1.280569076538086,1.2548778057098389,0.02569122053682804,
0.13752169907093048,29.007192611694336,0.23708033561706543,3.6432573795318604,0.06507372856140137,7.271579265594482,11,1699,0.8122863173484802,0.7938249707221985,0.0184613186866045,
0.14668937027454376,22.511829376220703,0.21504473686218262,2.8202383518218994,0.07625055313110352,6.817126274108887,11,1749,0.9223145246505737,0.9014890789985657,0.020825430750846863,
,,,,,,12,1799,0.673170804977417,0.6576528549194336,0.015517954714596272,
0.12611526250839233,34.643760681152344,0.2742919921875,4.119614124298096,0.06658196449279785,7.92925500869751,12,1849,1.4030091762542725,1.3766968250274658,0.026312336325645447,
0.1589534431695938,22.59868621826172,0.26891207695007324,2.86733078956604,0.09378480911254883,6.291150093078613,12,1899,0.7674853801727295,0.7511278986930847,0.016357503831386566,
,,,,,,13,1949,0.9548820853233337,0.9362688064575195,0.0186132974922657,
0.1283857226371765,32.67827606201172,0.23496103286743164,3.6105704307556152,0.06507587432861328,7.789028644561768,13,1999,0.8937883973121643,0.8763828277587891,0.017405563965439796,
