batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,cumulative_flops,cumulative_flops_val_sync,epoch,flops_per_batch,mfu (%),step,train/gradient_norm,train_loss,val_loss
,,,,,,599.8316650390625,42898108186624.0,,0,857962184704.0,13.401897430419922,49,4.627421855926514,1.5239235162734985,
0.1454118937253952,321.1701965332031,3.4398834705352783,89.97260284423828,0.03823256492614746,6.877016544342041,585.6758422851562,85796216373248.0,,0,857962184704.0,13.085618019104004,99,2.6324729919433594,1.1557209491729736,
,,,,,,,128694324559872.0,,1,,,149,5.042237758636475,1.6842490434646606,
0.07486116141080856,128.2013397216797,0.9821963310241699,31.269250869750977,0.031410932540893555,13.358061790466309,398.9007873535156,171592432746496.0,,1,,8.912546157836914,199,2.3470101356506348,0.9635359048843384,
0.07323813438415527,28.32652473449707,0.10872340202331543,3.2384262084960938,0.03357291221618652,13.654088973999023,562.3477172851562,214490549321728.0,,1,,12.564403533935547,249,2.130052328109741,0.9895859956741333,
,,,,,,,257388649119744.0,,2,,,299,3.8227362632751465,0.952815055847168,
0.06581921130418777,39.25878143310547,0.12822508811950684,4.149903297424316,0.030898332595825195,15.193132400512695,550.0709838867188,300286765694976.0,,2,,12.290106773376465,349,2.39326548576355,0.7958998680114746,
0.07861156016588211,31.9947566986084,0.1233217716217041,3.698439836502075,0.033344268798828125,12.720775604248047,496.65423583984375,343184865492992.0,,2,,11.09662914276123,399,7.623093128204346,1.057797908782959,
,,,,,,224.94923400878906,386082998845440.0,,3,,3.5921781063079834,449,2.0914573669433594,1.1988654136657715,
0.06365428864955902,35.409114837646484,0.10776185989379883,3.416914224624634,0.031537771224975586,15.709859848022461,616.3973999023438,428981098643456.0,,3,,13.772022247314453,499,3.1361210346221924,0.9049701690673828,
0.07860445976257324,27.23784828186035,0.1269378662109375,3.8012337684631348,0.03339385986328125,12.721924781799316,503.3565368652344,471879198441472.0,,3,,11.246376991271973,549,4.314047813415527,1.0602632761001587,
,,,,,,236.17398071289062,514777298239488.0,,4,,3.7714242935180664,599,2.6553337574005127,0.9227818250656128,
0.06824396550655365,118.73812103271484,0.8310720920562744,25.727890014648438,0.0323023796081543,14.653310775756836,464.4454650878906,557675431591936.0,,4,,10.376996040344238,649,2.087425708770752,0.8803848028182983,
0.06892891973257065,27.980945587158203,0.10447978973388672,3.140101432800293,0.033272743225097656,14.507699012756348,520.64892578125,600573531389952.0,,4,,11.632737159729004,699,1.9196072816848755,0.8361520767211914,
,,,,,,243.27450561523438,643471664742400.0,,5,,3.8848116397857666,749,2.225456476211548,0.7832945585250854,
0.05889277532696724,33.83432388305664,0.10529422760009766,3.269585609436035,0.03220415115356445,16.980010986328125,494.4670104980469,686369730985984.0,,5,,11.047760009765625,799,3.2224953174591064,0.8570668697357178,
0.07418103516101837,27.135072708129883,0.10928225517272949,3.150672674179077,0.034685373306274414,13.480534553527832,420.5550537109375,729267864338432.0,,5,,9.396363258361816,849,2.425229787826538,0.7517271041870117,
,,,,,,613.2971801757812,772165997690880.0,,6,,13.702754974365234,899,5.298262596130371,1.054606556892395,
0.06016519293189049,35.61558151245117,0.12654590606689453,3.892346143722534,0.03251147270202637,16.62090492248535,629.6261596679688,815064063934464.0,,6,,14.06758975982666,949,4.919963359832764,0.8300821781158447,
0.07609481364488602,22.755765914916992,0.10694551467895508,3.1075687408447266,0.03441452980041504,13.141500473022461,537.7332153320312,857962197286912.0,,6,,12.014447212219238,999,2.455984592437744,1.0080766677856445,
,,,,,,717.1062622070312,900860263530496.0,,7,,16.022136688232422,1049,2.6657819747924805,0.7364401817321777,
0.07573636621236801,126.81993865966797,0.9850115776062012,30.179611206054688,0.0326383113861084,13.203696250915527,455.9271545410156,943758396882944.0,,7,,10.186673164367676,1099,1.9663443565368652,0.8847665786743164,
0.0766727477312088,29.305496215820312,0.11873555183410645,3.4136197566986084,0.03478288650512695,13.04244327545166,858.2318725585938,986656530235392.0,,7,,19.175273895263672,1149,2.2027628421783447,0.8434329628944397,
,,,,,,410.2528381347656,1029554596478976.0,,8,,9.166183471679688,1199,3.726639986038208,0.8996333479881287,
0.06719277054071426,39.08918762207031,0.1251678466796875,4.010787487030029,0.031207799911499023,14.882553100585938,371.6217346191406,1072452729831424.0,,8,,8.303056716918945,1249,4.307485103607178,0.922183096408844,
0.08546136319637299,23.772029876708984,0.12201976776123047,3.539580821990967,0.03447294235229492,11.701193809509277,1049.401123046875,1115350863183872.0,,8,,23.446523666381836,1299,3.6903669834136963,0.7267369031906128,
,,,,,,547.1117553710938,1158248929427456.0,,9,,12.223989486694336,1349,1.5989454984664917,0.9209103584289551,
0.06449274718761444,38.08641052246094,0.12435269355773926,3.823652744293213,0.032521963119506836,15.505619049072266,491.27850341796875,1201147062779904.0,,9,,10.976520538330078,1399,2.3075244426727295,0.9878807663917542,
0.08264652639627457,26.028594970703125,0.11413049697875977,2.9929847717285156,0.038132667541503906,12.099721908569336,702.6889038085938,1244045196132352.0,,9,,15.700013160705566,1449,3.0575814247131348,0.6697418689727783,
,,,,,,629.5112915039062,1286943329484800.0,,10,,14.065023422241211,1499,1.9533742666244507,0.5816473364830017,
0.07511375844478607,103.63032531738281,0.80352783203125,24.461912155151367,0.03284811973571777,13.313139915466309,516.2236938476562,1329841328619520.0,,10,,11.533864974975586,1549,3.3979201316833496,0.7485958337783813,
