batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,cumulative_flops,cumulative_flops_val_sync,epoch,flops_per_batch,mfu (%),step,train/gradient_norm,train_loss,val_loss
,,,,,,969.1765747070312,42898108186624.0,,0,857962184704.0,21.654085159301758,49,6.033039093017578,1.5523643493652344,
0.07568928599357605,292.2015686035156,1.6374461650848389,73.4500503540039,0.0222933292388916,13.211910247802734,590.759033203125,85796216373248.0,,0,857962184704.0,13.199190139770508,99,3.024937629699707,1.2899147272109985,
0.055392440408468246,26.042150497436523,0.09291338920593262,3.082125186920166,0.030145883560180664,18.05300521850586,984.4032592773438,128694324559872.0,,0,857962184704.0,21.994291305541992,149,4.7372660636901855,1.3080216646194458,
,,,,,,530.2564086914062,171592432746496.0,,1,,11.847393989562988,199,4.401564598083496,1.2731558084487915,
0.034078728407621384,33.30893325805664,0.06784415245056152,3.0345191955566406,0.022357463836669922,29.34381675720215,906.9124145507812,214490549321728.0,,1,,20.262929916381836,249,2.8734259605407715,1.0380381345748901,
0.04115177318453789,30.833728790283203,0.06458902359008789,2.7689523696899414,0.02332615852355957,24.300291061401367,755.5213623046875,257388649119744.0,,1,,16.880435943603516,299,3.200817584991455,0.9369766712188721,
,,,,,,877.6984252929688,300286765694976.0,,2,,19.61020851135254,349,2.432669162750244,0.983222246170044,
0.033689964562654495,37.36073303222656,0.08265018463134766,4.0641045570373535,0.020336627960205078,29.682430267333984,1459.1873779296875,343184865492992.0,,2,,32.60227966308594,399,7.20748233795166,1.4651243686676025,
0.03748474642634392,35.888099670410156,0.06206059455871582,2.7419443130493164,0.022633790969848633,26.677518844604492,697.623779296875,386082998845440.0,,2,,15.586845397949219,449,1.9595314264297485,0.9547674655914307,
,,,,,,264.2391357421875,428981098643456.0,,3,,5.788716793060303,499,2.2803194522857666,0.8461076617240906,
0.03673373907804489,38.82289123535156,0.07719683647155762,3.7860968112945557,0.020389556884765625,27.222930908203125,981.4164428710938,471879198441472.0,,3,,21.92755699157715,549,4.727854251861572,0.9970436096191406,
0.049525365233421326,26.723527908325195,0.07933998107910156,3.311105251312256,0.023961782455444336,20.191673278808594,1324.014404296875,514777298239488.0,,3,,29.582143783569336,599,4.638066291809082,1.24412202835083,
,,,,,,,557675431591936.0,,4,,,649,4.160678863525391,1.1049259901046753,
0.05201616883277893,106.89363861083984,0.46366214752197266,22.84918785095215,0.020292282104492188,19.224790573120117,841.8577880859375,600573531389952.0,,4,,18.809431076049805,699,3.5682451725006104,0.848167896270752,
0.05211208015680313,24.725065231323242,0.0759434700012207,3.063112497329712,0.024792909622192383,19.189409255981445,766.0582275390625,643471664742400.0,,4,,17.11585807800293,749,1.905497670173645,0.7717593312263489,
0.045179642736911774,30.002458572387695,0.07660341262817383,3.370765447616577,0.022725820541381836,22.133861541748047,940.7538452148438,686369730985984.0,,4,,21.01904296875,799,3.508068323135376,1.0692170858383179,
,,,,,,812.8011474609375,729267864338432.0,,5,,18.16022491455078,849,3.223324775695801,0.9587363004684448,
0.04256780445575714,35.32283020019531,0.07462310791015625,3.621586561203003,0.020605087280273438,23.491933822631836,755.9579467773438,772165997690880.0,,5,,16.89019203186035,899,2.8089911937713623,1.0378484725952148,
0.04764910042285919,29.002281188964844,0.08868646621704102,3.749589204788208,0.023652315139770508,20.986753463745117,588.8967895507812,815064063934464.0,,5,,13.15758228302002,949,2.8658831119537354,1.1123842000961304,
,,,,,,981.3009033203125,857962197286912.0,,6,,21.924976348876953,999,2.3794119358062744,0.9228657484054565,
0.03711099177598953,38.765037536621094,0.08183073997497559,4.03872537612915,0.020261526107788086,26.946195602416992,777.4990844726562,900860263530496.0,,6,,17.37148094177246,1049,2.1350512504577637,0.7270981073379517,
0.04504220187664032,36.522735595703125,0.08092379570007324,3.5805580615997314,0.022600889205932617,22.20140266418457,495.90142822265625,943758396882944.0,,6,,11.079809188842773,1099,2.1828067302703857,1.075321078300476,
,,,,,,253.1411590576172,986656530235392.0,,7,,5.545591831207275,1149,1.9734361171722412,0.9626117944717407,
0.04192722588777542,36.441993713378906,0.07476592063903809,3.692129373550415,0.02025008201599121,23.85085105895996,569.24560546875,1029554596478976.0,,7,,12.718521118164062,1199,3.671882390975952,0.9161722660064697,
0.043861471116542816,31.53535270690918,0.07529687881469727,3.241852283477783,0.023226499557495117,22.799053192138672,1327.609375,1072452729831424.0,,7,,29.662466049194336,1249,2.8544700145721436,0.7201817035675049,
,,,,,,,1115350863183872.0,,8,,,1299,2.1197338104248047,0.7073636054992676,
0.048390600830316544,30.54393196105957,0.08436012268066406,4.118396282196045,0.020483732223510742,20.665170669555664,874.5161743164062,1158248929427456.0,,8,,19.53911018371582,1349,2.508666753768921,0.9149444699287415,
0.05272936820983887,24.200912475585938,0.08476829528808594,3.0707788467407227,0.02760481834411621,18.964763641357422,792.562744140625,1201147062779904.0,,8,,17.708044052124023,1399,2.3803322315216064,0.9478670358657837,
0.04645531624555588,30.56568717956543,0.07926225662231445,3.500910997390747,0.022640466690063477,21.52606201171875,1331.66845703125,1244045196132352.0,,8,,29.753154754638672,1449,2.139669895172119,0.8278816938400269,
,,,,,,619.3016967773438,1286943329484800.0,,9,,13.836912155151367,1499,2.7124972343444824,1.2554619312286377,
0.034853946417570114,35.468849182128906,0.07034969329833984,3.4605586528778076,0.020328998565673828,28.69115447998047,954.86767578125,1329841328619520.0,,9,,21.33438491821289,1549,2.8904807567596436,1.3342781066894531,
