batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_loss,train_main_loss,val_loss
,,,,,,0,49,1.2020803689956665,1.2020803689956665,
0.8853873610496521,91.70323181152344,6.17762565612793,28.567533493041992,0.2162463665008545,1.1294491291046143,0,99,0.9691668748855591,0.9691668748855591,
0.2511095404624939,20.595016479492188,0.5064406394958496,2.581737756729126,0.19616270065307617,3.982325792312622,0,149,1.0911331176757812,1.0911331176757812,
,,,,,,1,199,0.9696692228317261,0.9696692228317261,
0.351289302110672,62.76044845581055,1.1411924362182617,7.46861457824707,0.15279841423034668,2.846656560897827,1,249,0.9363552927970886,0.9363552927970886,
0.3885827958583832,37.24171829223633,0.6867947578430176,4.691947937011719,0.1463773250579834,2.5734541416168213,1,299,1.067492961883545,1.067492961883545,
0.22732186317443848,32.66800308227539,0.5660128593444824,4.5483598709106445,0.12444329261779785,4.399048805236816,1,349,1.1541917324066162,1.1541917324066162,
,,,,,,2,399,0.8445765972137451,0.8445765972137451,
0.39446768164634705,51.3662109375,0.9014358520507812,6.613125801086426,0.13631010055541992,2.535061836242676,2,449,1.0159927606582642,1.0159927606582642,
0.34217992424964905,49.66115951538086,1.195467472076416,5.691305637359619,0.2100515365600586,2.9224390983581543,2,499,1.2843501567840576,1.2843501567840576,
,,,,,,3,549,0.9172936677932739,0.9172936677932739,
0.4163953363895416,69.67353820800781,1.2739064693450928,7.144147872924805,0.1783146858215332,2.401563882827759,3,599,0.8714906573295593,0.8714906573295593,
0.27456754446029663,27.479034423828125,0.46790528297424316,2.8081374168395996,0.1666247844696045,3.6420910358428955,3,649,1.0760011672973633,1.0760011672973633,
0.2563266456127167,20.62119483947754,0.4375932216644287,2.9074292182922363,0.15050864219665527,3.9012722969055176,3,699,1.1214799880981445,1.1214799880981445,
,,,,,,4,749,0.9612870216369629,0.9612870216369629,
0.6130818128585815,58.355438232421875,1.3359005451202393,6.839877605438232,0.1953105926513672,1.6311036348342896,4,799,1.0741928815841675,1.0741928815841675,
0.5746915340423584,68.62921905517578,2.5290184020996094,12.81665325164795,0.19732284545898438,1.7400637865066528,4,849,0.9188929200172424,0.9188929200172424,
0.2724810242652893,39.75910949707031,0.637932538986206,3.9283807277679443,0.16239070892333984,3.669980525970459,4,899,0.7909529209136963,0.7909529209136963,
,,,,,,5,949,0.765072226524353,0.765072226524353,
0.4605475068092346,54.473026275634766,1.28956937789917,8.20167064666748,0.15723252296447754,2.1713287830352783,5,999,0.8468182682991028,0.8468182682991028,
0.5963037014007568,29.04251480102539,0.9539189338684082,4.0885539054870605,0.23331451416015625,1.6769977807998657,5,1049,1.202365756034851,1.202365756034851,
,,,,,,6,1099,0.9818657040596008,0.9818657040596008,
0.5280678868293762,61.55228805541992,1.3491744995117188,7.452265739440918,0.18104219436645508,1.8936958312988281,6,1149,0.7144660949707031,0.7144660949707031,
0.28691139817237854,27.623506546020508,0.5992302894592285,2.7310307025909424,0.21941542625427246,3.48539662361145,6,1199,0.878676176071167,0.878676176071167,
0.23160916566848755,28.593374252319336,0.5077652931213379,3.608346700668335,0.14071965217590332,4.317618370056152,6,1249,0.9922995567321777,0.9922995567321777,
,,,,,,7,1299,1.1890822649002075,1.1890822649002075,
0.3700534999370575,60.363101959228516,1.2237606048583984,7.701253890991211,0.1589040756225586,2.7023119926452637,7,1349,0.7763769030570984,0.7763769030570984,
0.38151389360427856,48.311405181884766,0.922980785369873,4.6762166023254395,0.19737768173217773,2.621136426925659,7,1399,0.7821629643440247,0.7821629643440247,
,,,,,,8,1449,0.7932524681091309,0.7932524681091309,
0.45655909180641174,53.94459533691406,1.0613148212432861,6.779143333435059,0.1565558910369873,2.1902968883514404,8,1499,0.8606284260749817,0.8606284260749817,
0.656222403049469,38.47095489501953,1.2957592010498047,5.216983318328857,0.24837327003479004,1.5238735675811768,8,1549,0.8259481191635132,0.8259481191635132,
0.35810020565986633,34.403438568115234,0.7822442054748535,3.350797176361084,0.23345017433166504,2.7925145626068115,8,1599,0.8590602874755859,0.8590602874755859,
,,,,,,9,1649,0.9582769870758057,0.9582769870758057,
0.44150614738464355,42.48445129394531,0.8730506896972656,4.156354904174805,0.2100520133972168,2.2649741172790527,9,1699,0.8818594217300415,0.8818594217300415,
0.3910694122314453,30.262502670288086,0.6338539123535156,2.928021192550659,0.21647858619689941,2.5570907592773438,9,1749,0.8521605730056763,0.8521605730056763,
0.7081772685050964,25.302576065063477,1.0983526706695557,3.6283555030822754,0.30271363258361816,1.4120758771896362,9,1799,0.5795435905456543,0.5795435905456543,
,,,,,,10,1849,0.9871959090232849,0.9871959090232849,
0.3967283368110657,74.98591613769531,2.303725242614746,11.089447975158691,0.20774030685424805,2.5206165313720703,10,1899,0.910979688167572,0.910979688167572,
0.24788478016853333,18.83662223815918,0.4721848964691162,2.4576525688171387,0.19212841987609863,4.034132480621338,10,1949,0.6359810829162598,0.6359810829162598,
,,,,,,11,1999,0.7415266036987305,0.7415266036987305,
,,,,,,11,1999,,,0.5540109872817993
0.2812497019767761,41.349239349365234,0.7791266441345215,5.889922618865967,0.13228130340576172,3.5555593967437744,11,2049,0.6328311562538147,0.6328311562538147,
0.2520544230937958,18.107995986938477,0.3670663833618164,2.425999879837036,0.1513051986694336,3.967397451400757,11,2099,0.7073488235473633,0.7073488235473633,
0.24610714614391327,16.66489601135254,0.367417573928833,1.7752052545547485,0.2069718837738037,4.0632710456848145,11,2149,0.6187640428543091,0.6187640428543091,
