batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,val_loss
,,,,,,0,190.30526733398438,1128.831787109375,851.2803955078125,49,2170.41748046875,
0.6906459927558899,32.74130630493164,2.0392251014709473,4.260519981384277,0.47863292694091797,1.4479198455810547,0,193.38772583007812,994.317138671875,740.0469970703125,99,1927.7518310546875,
0.6426759958267212,18.031057357788086,1.1814711093902588,2.397312641143799,0.4928314685821533,1.5559940338134766,0,175.9041290283203,811.409912109375,667.9346313476562,149,1655.248779296875,
,,,,,,1,180.74517822265625,845.1002197265625,657.6771240234375,199,1683.5225830078125,
0.5661910176277161,21.579362869262695,1.114527702331543,3.353586435317993,0.3323390483856201,1.766188383102417,1,159.27749633789062,742.5079345703125,610.201904296875,249,1511.9874267578125,
0.625579833984375,13.995382308959961,0.9207606315612793,1.881838321685791,0.4892878532409668,1.5985169410705566,1,176.81178283691406,776.404296875,648.7186279296875,299,1601.9346923828125,
0.5622600317001343,23.543275833129883,1.1558034420013428,2.5804390907287598,0.4479095935821533,1.7785364389419556,1,191.75314331054688,772.27099609375,638.03271484375,349,1602.056884765625,
,,,,,,2,176.18472290039062,749.3720092773438,614.954833984375,399,1540.51171875,
0.5970877408981323,28.289798736572266,1.1819875240325928,4.620378017425537,0.25582051277160645,1.6747958660125732,2,179.1397705078125,837.1739501953125,644.01025390625,449,1660.323974609375,
0.6452748775482178,26.817358016967773,1.5345375537872314,3.2392752170562744,0.47372865676879883,1.549727201461792,2,156.12908935546875,822.7088623046875,618.9005126953125,499,1597.738525390625,
,,,,,,3,184.29043579101562,748.6849365234375,611.254638671875,549,1544.22998046875,
0.5283216834068298,13.77392578125,0.7988677024841309,3.046567440032959,0.2622189521789551,1.8927862644195557,3,185.5726776123047,729.382568359375,612.21142578125,599,1527.1666259765625,
0.6343144774436951,15.92304801940918,0.9573373794555664,1.9607409238815308,0.4882528781890869,1.5765050649642944,3,176.50286865234375,747.8551635742188,597.7288208007812,649,1522.0869140625,
0.5280066728591919,11.632964134216309,0.7109811305999756,1.5674222707748413,0.4535989761352539,1.8939154148101807,3,207.94674682617188,651.5725708007812,583.7747802734375,699,1443.2940673828125,
,,,,,,4,218.78439331054688,732.1512451171875,613.985107421875,749,1564.920654296875,
0.540282130241394,20.7016544342041,1.242516279220581,4.959239482879639,0.2505457401275635,1.8508849143981934,4,174.19952392578125,698.8839111328125,585.3359375,799,1458.41943359375,
0.6099942922592163,12.408042907714844,0.8436594009399414,1.753927230834961,0.48101162910461426,1.6393595933914185,4,183.26953125,621.88037109375,574.6905517578125,849,1379.8404541015625,
0.4885505437850952,8.277071952819824,0.6169497966766357,1.3881430625915527,0.4444425106048584,2.0468711853027344,4,196.2184295654297,655.0108642578125,568.4979248046875,899,1419.727294921875,
,,,,,,5,165.5888671875,630.7701416015625,551.93115234375,949,1348.290283203125,
0.5193560719490051,14.623403549194336,0.7401585578918457,2.8593547344207764,0.25885510444641113,1.9254612922668457,5,194.59036254882812,652.9478149414062,590.6290283203125,999,1438.167236328125,
0.5938506126403809,17.72913360595703,0.8551433086395264,1.848482608795166,0.4626190662384033,1.6839251518249512,5,185.91964721679688,573.671142578125,548.5013427734375,1049,1308.092041015625,
,,,,,,6,198.89111328125,650.5372314453125,531.2974853515625,1099,1380.725830078125,
0.5496141910552979,19.000125885009766,0.8993008136749268,3.574171304702759,0.25161099433898926,1.8194581270217896,6,180.74868774414062,628.5473022460938,556.6820068359375,1149,1365.97802734375,
0.5124262571334839,7.697651386260986,0.5947129726409912,1.3381932973861694,0.4444148540496826,1.9515002965927124,6,174.78326416015625,543.378662109375,542.4996337890625,1199,1260.66162109375,
0.5115047693252563,12.192870140075684,0.6855344772338867,1.4847967624664307,0.4617025852203369,1.955016016960144,6,199.07655334472656,708.512451171875,556.4281005859375,1249,1464.0169677734375,
,,,,,,7,184.15538024902344,689.1305541992188,554.25048828125,1299,1427.5364990234375,
0.5109403133392334,12.46395206451416,0.7708227634429932,2.9901041984558105,0.25779128074645996,1.9571757316589355,7,184.89938354492188,561.0821533203125,539.1513061523438,1349,1285.1328125,
0.5504591464996338,22.121074676513672,1.2746939659118652,2.8320512771606445,0.45009565353393555,1.8166651725769043,7,195.72520446777344,637.2470092773438,573.6746215820312,1399,1406.6468505859375,
0.5549253225326538,19.238506317138672,0.8638410568237305,1.8657855987548828,0.46299052238464355,1.80204439163208,7,191.44668579101562,659.3668212890625,521.713134765625,1449,1372.526611328125,
,,,,,,8,169.21401977539062,536.7263793945312,527.812255859375,1499,1233.7525634765625,
0.5691196322441101,22.452495574951172,1.0061182975769043,4.051551342010498,0.24832916259765625,1.7570997476577759,8,195.26708984375,594.9234619140625,531.957275390625,1549,1322.147705078125,
0.5694877505302429,8.46318531036377,0.7556934356689453,1.6210523843765259,0.4661746025085449,1.755963921546936,8,171.16661071777344,751.4525146484375,560.4169921875,1599,1483.0361328125,
,,,,,,9,203.39724731445312,563.2392578125,533.332763671875,1649,1299.96923828125,
0.5423065423965454,18.64609718322754,1.1678502559661865,4.177577972412109,0.27955198287963867,1.84397554397583,9,196.01766967773438,669.989501953125,541.7584228515625,1699,1407.765625,
0.5267301201820374,9.736100196838379,0.6749505996704102,1.4746893644332886,0.4576900005340576,1.8985053300857544,9,182.0623016357422,527.0919189453125,527.674560546875,1749,1236.828857421875,
