batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_DE_loss,train_cons_loss,train_direction_loss,train_loss,val_loss
,,,,,,0,49,821209.875,0.00497632659971714,0.11963952332735062,821210.0,
0.21898561716079712,71.27415466308594,1.2598881721496582,10.464274406433105,0.12039899826049805,4.56650972366333,0,99,666474.375,0.006772844586521387,0.11112438142299652,666474.5,
0.18156355619430542,26.10430335998535,0.34783458709716797,2.9839422702789307,0.11656880378723145,5.5077128410339355,0,149,632882.5,0.006741295102983713,0.09467310458421707,632882.625,
,,,,,,1,199,621308.5625,0.007253726478666067,0.09797627478837967,621308.6875,
0.1556614339351654,44.74846267700195,0.3443295955657959,4.845898151397705,0.07105588912963867,6.424199104309082,1,249,734282.625,0.006184064783155918,0.1055198535323143,734282.75,
0.21287359297275543,22.274593353271484,0.34612393379211426,2.7396297454833984,0.12633967399597168,4.6976237297058105,1,299,668098.375,0.00624256394803524,0.09668369591236115,668098.5,
0.1968281865119934,22.099699020385742,0.289980411529541,2.422647714614868,0.11969566345214844,5.080573081970215,1,349,695449.25,0.005475171376019716,0.12096928805112839,695449.375,
,,,,,,2,399,560883.75,0.00545194186270237,0.07366260141134262,560883.8125,
0.1719089150428772,43.03202819824219,0.3939671516418457,5.279526710510254,0.07462167739868164,5.817033767700195,2,449,442908.125,0.004186796490103006,0.09412642568349838,442908.21875,
0.20721735060214996,22.480636596679688,0.35631442070007324,2.8286592960357666,0.12596583366394043,4.825850963592529,2,499,478775.5625,0.0047327266074717045,0.07573380321264267,478775.625,
,,,,,,3,549,550726.125,0.003955129999667406,0.0742608979344368,550726.1875,
0.16110669076442719,33.39988327026367,0.2687687873840332,3.464409351348877,0.07757997512817383,6.207067012786865,3,599,533863.25,0.004008548799902201,0.09852634370326996,533863.375,
0.19860023260116577,29.155094146728516,0.3520324230194092,3.3405375480651855,0.10538196563720703,5.035240650177002,3,649,480938.8125,0.0036594446282833815,0.08446930348873138,480938.90625,
0.1934824138879776,30.951919555664062,0.3557138442993164,4.071542739868164,0.08736586570739746,5.168428421020508,3,699,478366.9375,0.003970886580646038,0.09062428772449493,478367.03125,
,,,,,,4,749,633539.75,0.006005859933793545,0.1095423698425293,633539.875,
0.16275718808174133,38.71589279174805,0.3540360927581787,4.221911907196045,0.08385682106018066,6.1441216468811035,4,799,376179.375,0.00399281969293952,0.0688081830739975,376179.4375,
