batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_mean,l_sd,step,train_loss,val_loss
,,,,,,0,1132.5029296875,881.771240234375,49,2014.274169921875,
0.17087790369987488,64.20860290527344,0.8291049003601074,10.604031562805176,0.07818770408630371,5.8521318435668945,0,1033.217529296875,769.0197143554688,99,1802.2373046875,
0.16177578270435333,36.52962875366211,0.35750627517700195,4.243987560272217,0.08423829078674316,6.181395053863525,0,817.7581787109375,701.4367065429688,149,1519.19482421875,
,,,,,,1,884.7420654296875,692.42724609375,199,1577.1693115234375,
0.10422635823488235,33.6049690246582,0.2178661823272705,3.4141619205474854,0.0638124942779541,9.594501495361328,1,809.3509521484375,668.1812133789062,249,1477.5322265625,
0.11859945207834244,29.279146194458008,0.2186422348022461,3.0060577392578125,0.07273387908935547,8.431741714477539,1,693.199462890625,644.38330078125,299,1337.582763671875,
0.1532861292362213,36.3157958984375,0.2562446594238281,3.4708449840545654,0.07382774353027344,6.523747444152832,1,795.924560546875,653.8810424804688,349,1449.8056640625,
,,,,,,2,761.500244140625,624.4970703125,399,1385.997314453125,
0.15614323318004608,39.877071380615234,0.422227144241333,5.158288955688477,0.08185410499572754,6.404376029968262,2,707.8928833007812,640.3804931640625,449,1348.2733154296875,
0.13533350825309753,26.730506896972656,0.2558434009552002,3.14020037651062,0.08147358894348145,7.389152526855469,2,743.228759765625,637.4794921875,499,1380.708251953125,
0.11064041405916214,32.76638412475586,0.2072451114654541,3.036794424057007,0.06824469566345215,9.038288116455078,2,703.27978515625,629.9640502929688,549,1333.243896484375,
,,,,,,3,685.115966796875,601.7110595703125,599,1286.8270263671875,
0.11403027921915054,46.20734786987305,0.3196134567260742,5.491943836212158,0.0581967830657959,8.769600868225098,3,736.2354125976562,608.282470703125,649,1344.517822265625,
0.19436128437519073,52.024593353271484,0.6845111846923828,6.882729530334473,0.09945344924926758,5.145057678222656,3,670.8475341796875,593.2156982421875,699,1264.063232421875,
0.143389031291008,37.14463806152344,0.3682546615600586,4.999051570892334,0.07366490364074707,6.974033832550049,3,774.425537109375,612.636962890625,749,1387.0625,
,,,,,,4,709.2268676757812,618.4979248046875,799,1327.724853515625,
0.12229347974061966,33.977455139160156,0.22805261611938477,4.198586463928223,0.05431652069091797,8.177050590515137,4,618.653076171875,573.2882080078125,849,1191.94140625,
0.1178562194108963,25.431392669677734,0.20386767387390137,2.8154587745666504,0.07241010665893555,8.484914779663086,4,685.416259765625,595.79541015625,899,1281.211669921875,
,,,,,,5,639.7333984375,579.2130737304688,949,1218.9464111328125,
0.15360958874225616,48.86732482910156,0.7162466049194336,7.328603744506836,0.0977330207824707,6.510010242462158,5,663.9072265625,576.2984008789062,999,1240.20556640625,
0.1641508787870407,30.214181900024414,0.3012676239013672,3.092787981033325,0.09740972518920898,6.09195613861084,5,655.34326171875,588.8160400390625,1049,1244.1593017578125,
0.12921960651874542,47.48476791381836,0.4511990547180176,6.70371675491333,0.0673058032989502,7.738763809204102,5,604.6817626953125,571.7613525390625,1099,1176.443115234375,
,,,,,,6,654.8096923828125,560.727783203125,1149,1215.5374755859375,
0.10978306084871292,34.910438537597656,0.2522730827331543,4.264938831329346,0.05915045738220215,9.10887336730957,6,640.0485229492188,577.8978881835938,1199,1217.9462890625,
0.2193906605243683,51.9444465637207,0.7860963344573975,8.051985740661621,0.09762763977050781,4.558079242706299,6,668.573486328125,565.2423706054688,1249,1233.81591796875,
0.1549425572156906,36.76704406738281,0.3354532718658447,3.79557466506958,0.08838009834289551,6.454005241394043,6,739.1624755859375,580.10107421875,1299,1319.2635498046875,
,,,,,,7,679.656982421875,560.318603515625,1349,1239.9755859375,
0.1256113499403,38.41455841064453,0.3061833381652832,5.611551284790039,0.054563045501708984,7.961063861846924,7,607.5463256835938,563.5349731445312,1399,1171.081298828125,
0.11975288391113281,29.569732666015625,0.20099949836730957,2.944340467453003,0.06826639175415039,8.350529670715332,7,645.7277221679688,552.2596435546875,1449,1197.9873046875,
0.13182422518730164,33.578147888183594,0.2417900562286377,3.3444502353668213,0.0722959041595459,7.5858588218688965,7,639.6446533203125,564.3536376953125,1499,1203.998291015625,
,,,,,,8,691.0057373046875,548.7868041992188,1549,1239.79248046875,
0.14795386791229248,34.1822395324707,0.30450892448425293,5.544715404510498,0.054918766021728516,6.758863925933838,8,593.49560546875,547.5525512695312,1599,1141.048095703125,
0.14844031631946564,28.070581436157227,0.24305462837219238,2.5382120609283447,0.09575819969177246,6.7367143630981445,8,519.2982788085938,539.7968139648438,1649,1059.0950927734375,
0.12402292340993881,31.074031829833984,0.21789932250976562,3.2350571155548096,0.06735563278198242,8.06302547454834,8,510.6078186035156,536.212158203125,1699,1046.8199462890625,
,,,,,,9,679.4884033203125,542.5726928710938,1749,1222.06103515625,
0.10785136371850967,35.81214141845703,0.24200916290283203,4.171210765838623,0.05801892280578613,9.27202033996582,9,524.0633544921875,535.9813232421875,1799,1060.044677734375,
0.19637373089790344,34.42985153198242,0.36048364639282227,3.578476667404175,0.10073661804199219,5.0923309326171875,9,586.2381591796875,542.9000244140625,1849,1129.1383056640625,
,,,,,,10,543.150390625,538.423095703125,1899,1081.573486328125,
0.12633635103702545,41.05305480957031,0.44014883041381836,6.265078067779541,0.07025432586669922,7.915378570556641,10,613.3994140625,554.553955078125,1949,1167.953369140625,
0.13567793369293213,28.733165740966797,0.2131197452545166,3.046905755996704,0.0699462890625,7.370395183563232,10,513.2003173828125,528.6680297851562,1999,1041.868408203125,
