batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_sd,step,train_loss,val_loss
,,,,,,0,189.55490112304688,775.1900634765625,49,964.7449340820312,
0.7497156858444214,43.53034210205078,2.815884590148926,5.498562812805176,0.5121128559112549,1.3338390588760376,0,192.4982452392578,681.8518676757812,99,874.35009765625,
0.6047884225845337,14.351775169372559,0.9816024303436279,2.0247232913970947,0.48480820655822754,1.653470754623413,0,175.175537109375,646.8399658203125,149,822.0155029296875,
,,,,,,1,179.72105407714844,631.5875244140625,199,811.30859375,
0.5364997386932373,17.180803298950195,0.9388628005981445,3.348986864089966,0.28034234046936035,1.8639339208602905,1,158.06044006347656,598.37109375,249,756.4315185546875,
0.615488588809967,13.738127708435059,0.8176918029785156,1.7145899534225464,0.4769022464752197,1.6247254610061646,1,175.8438720703125,629.958740234375,299,805.8026123046875,
0.5189820528030396,16.001489639282227,0.7312309741973877,1.6751644611358643,0.43651294708251953,1.9268490076065063,1,190.63351440429688,628.1801147460938,349,818.8135986328125,
,,,,,,2,174.76568603515625,593.333740234375,399,768.0994873046875,
0.529061496257782,19.475553512573242,1.0402193069458008,4.033764362335205,0.25787806510925293,1.8901393413543701,2,177.80381774902344,614.1143798828125,449,791.918212890625,
0.5111609101295471,17.1912784576416,1.0855352878570557,2.4185497760772705,0.4488372802734375,1.9563312530517578,2,154.6805419921875,576.16259765625,499,730.8432006835938,
,,,,,,3,182.96197509765625,583.0562744140625,549,766.018310546875,
0.5443138480186462,16.259380340576172,0.8375627994537354,3.235387086868286,0.25887560844421387,1.8371754884719849,3,184.3960418701172,591.3762817382812,599,775.7723388671875,
0.6040318608283997,14.363951683044434,1.0596461296081543,2.221735715866089,0.476945161819458,1.6555418968200684,3,175.25631713867188,579.3151245117188,649,754.5714111328125,
0.5000786185264587,12.969755172729492,0.6499273777008057,1.486732006072998,0.4371516704559326,1.999685525894165,3,206.54148864746094,570.7184448242188,699,777.2598876953125,
,,,,,,4,217.51681518554688,600.957763671875,749,818.4745483398438,
0.5693063139915466,26.564817428588867,1.2931780815124512,4.718984603881836,0.27403736114501953,1.756523609161377,4,172.16061401367188,565.9013671875,799,738.0619506835938,
0.5452128052711487,7.9382405281066895,0.6197912693023682,1.3658174276351929,0.45378780364990234,1.83414626121521,4,181.1009521484375,568.0706787109375,849,749.171630859375,
0.5141996145248413,15.12861442565918,0.8382573127746582,1.8731069564819336,0.4475224018096924,1.944770097732544,4,194.16757202148438,565.0880126953125,899,759.2555541992188,
,,,,,,5,162.87086486816406,534.7422485351562,949,697.6131591796875,
0.591403603553772,25.745126724243164,1.1334342956542969,4.355907917022705,0.2602062225341797,1.6908925771713257,5,191.57516479492188,581.205078125,999,772.7802734375,
0.6107311844825745,10.675129890441895,0.7702538967132568,1.58760404586792,0.4851675033569336,1.637381672859192,5,183.08673095703125,555.017333984375,1049,738.1040649414062,
,,,,,,6,196.7294464111328,540.773193359375,1099,737.5026245117188,
0.5252845883369446,23.665016174316406,1.321460485458374,4.838380813598633,0.2731204032897949,1.903729796409607,6,178.36949157714844,556.2880859375,1149,734.6575927734375,
0.5672567486763,10.303053855895996,0.7194011211395264,1.5315325260162354,0.4697263240814209,1.762870192527771,6,172.53282165527344,545.37548828125,1199,717.9083251953125,
0.5249544978141785,17.651208877563477,0.9370441436767578,2.0929431915283203,0.44771599769592285,1.9049268960952759,6,196.7442626953125,551.6502075195312,1249,748.3944091796875,
,,,,,,7,181.6564178466797,566.4909057617188,1299,748.1473388671875,
0.5647655129432678,25.11346435546875,1.0639917850494385,4.29410982131958,0.24777936935424805,1.770646333694458,7,182.0921173095703,548.40380859375,1349,730.4959716796875,
0.5537558794021606,10.937950134277344,0.7587966918945312,1.6658644676208496,0.45549726486206055,1.8058499097824097,7,192.66336059570312,580.2576904296875,1399,772.9210205078125,
0.47792375087738037,4.972528457641602,0.5608251094818115,1.2765772342681885,0.439319372177124,2.092383861541748,7,189.37222290039062,531.1624755859375,1449,720.5347290039062,
,,,,,,8,166.61029052734375,537.45068359375,1499,704.0609130859375,
0.5358348488807678,16.81566619873047,0.9554269313812256,3.445038080215454,0.27733421325683594,1.8662465810775757,8,192.371337890625,540.830322265625,1549,733.20166015625,
0.5859925746917725,10.956365585327148,0.8687117099761963,1.7405158281326294,0.4991116523742676,1.7065062522888184,8,167.93995666503906,529.3473510742188,1599,697.287353515625,
,,,,,,9,200.8763427734375,546.0795288085938,1649,746.9559326171875,
0.5910918116569519,30.356191635131836,1.3404464721679688,5.2930145263671875,0.2532482147216797,1.6917845010757446,9,193.4629669189453,554.0355224609375,1699,747.49853515625,
0.5749287605285645,7.370553970336914,0.6950163841247559,1.4012365341186523,0.496002197265625,1.7393460273742676,9,179.22933959960938,532.5728759765625,1749,711.80224609375,
0.4868566393852234,5.888617515563965,0.5829548835754395,1.2998226881027222,0.4484879970550537,2.053992748260498,9,195.32672119140625,534.9088134765625,1799,730.235595703125,
,,,,,,10,181.07791137695312,551.2379150390625,1849,732.3157958984375,
0.5329691767692566,13.785751342773438,0.6717767715454102,2.677457809448242,0.2509009838104248,1.8762810230255127,10,183.20205688476562,532.00537109375,1899,715.2073974609375,
0.6231407523155212,18.51261329650879,1.1774239540100098,2.44984769821167,0.48061108589172363,1.6047738790512085,10,176.7740020751953,535.8699951171875,1949,712.64404296875,
0.5384249687194824,15.323370933532715,0.7975261211395264,1.7396103143692017,0.4584510326385498,1.857269048690796,10,191.3038330078125,547.1279296875,1999,738.4317626953125,
