batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_loss,train_main_loss,val_loss
,,,,,,0,49,10.84246826171875,10.84246826171875,
0.5651540756225586,144.47808837890625,5.729886054992676,28.177845001220703,0.20334720611572266,1.7694288492202759,0,99,6.325078010559082,6.325078010559082,
0.28802356123924255,25.74518394470215,0.4900820255279541,2.526608943939209,0.1939682960510254,3.471938371658325,0,149,4.3408074378967285,4.3408074378967285,
,,,,,,1,199,3.284876585006714,3.284876585006714,
0.2531123757362366,35.418277740478516,0.6133646965026855,5.068328857421875,0.12101912498474121,3.9508144855499268,1,249,2.6561625003814697,2.6561625003814697,
0.26829418540000916,28.47671890258789,0.529874324798584,3.315180540084839,0.15983271598815918,3.7272517681121826,1,299,1.9768496751785278,1.9768496751785278,
0.216134712100029,27.20949935913086,0.48142075538635254,3.6368343830108643,0.13237357139587402,4.626744270324707,1,349,2.1465439796447754,2.1465439796447754,
,,,,,,2,399,1.6295881271362305,1.6295881271362305,
0.3496827781200409,46.72480773925781,0.8437924385070801,5.6591997146606445,0.14910101890563965,2.8597347736358643,2,449,1.6071979999542236,1.6071979999542236,
0.23554910719394684,31.00238609313965,0.41854143142700195,3.2632715702056885,0.12825822830200195,4.245399475097656,2,499,1.3688685894012451,1.3688685894012451,
,,,,,,3,549,1.2627983093261719,1.2627983093261719,
0.2680495083332062,38.4930419921875,0.7829470634460449,4.099010467529297,0.1910088062286377,3.730654239654541,3,599,1.09889554977417,1.09889554977417,
0.2786158621311188,33.895565032958984,0.5742971897125244,2.89247727394104,0.1985485553741455,3.5891709327697754,3,649,1.628798246383667,1.628798246383667,
0.38509467244148254,36.34886169433594,0.6999204158782959,3.6415045261383057,0.19220638275146484,2.596764087677002,3,699,1.3891234397888184,1.3891234397888184,
,,,,,,4,749,1.3564542531967163,1.3564542531967163,
0.30330440402030945,40.09721374511719,0.6761977672576904,3.9306538105010986,0.17203187942504883,3.2970175743103027,4,799,0.8341957926750183,0.8341957926750183,
0.3020895719528198,42.50990295410156,0.8912501335144043,4.627546787261963,0.1925966739654541,3.310276508331299,4,849,0.9911986589431763,0.9911986589431763,
0.2224983274936676,26.340103149414062,0.4479527473449707,2.913686513900757,0.15374088287353516,4.494415760040283,4,899,1.0992223024368286,1.0992223024368286,
,,,,,,5,949,1.0425453186035156,1.0425453186035156,
0.3298950493335724,73.27445220947266,1.2519805431365967,10.095194816589355,0.12401747703552246,3.031266927719116,5,999,1.2677695751190186,1.2677695751190186,
0.39583444595336914,37.39845657348633,0.8403825759887695,3.90511155128479,0.21520066261291504,2.52630877494812,5,1049,0.9532095193862915,0.9532095193862915,
,,,,,,6,1099,1.3053216934204102,1.3053216934204102,
0.3253614604473114,47.03456115722656,0.7355105876922607,4.6778883934021,0.15723133087158203,3.073504686355591,6,1149,0.9930427074432373,0.9930427074432373,
0.23466749489307404,21.352388381958008,0.40871644020080566,2.5522894859313965,0.16013717651367188,4.261348247528076,6,1199,0.783846378326416,0.783846378326416,
0.26581162214279175,35.35153579711914,0.4685814380645752,3.6385622024536133,0.12878203392028809,3.7620630264282227,6,1249,1.1211893558502197,1.1211893558502197,
,,,,,,7,1299,1.0497636795043945,1.0497636795043945,
0.33761438727378845,45.96560287475586,0.995039701461792,6.136415481567383,0.1621532440185547,2.96195912361145,7,1349,0.8876684308052063,0.8876684308052063,
0.25183865427970886,34.88280487060547,0.6927158832550049,4.324947834014893,0.16016745567321777,3.9707961082458496,7,1399,0.915257453918457,0.915257453918457,
0.2532343864440918,32.301124572753906,0.7478747367858887,3.8740735054016113,0.19304609298706055,3.948910713195801,7,1449,1.169494867324829,1.169494867324829,
,,,,,,8,1499,0.8671098947525024,0.8671098947525024,
0.29824298620224,46.541404724121094,0.7236239910125732,3.937192440032959,0.1837918758392334,3.352970600128174,8,1549,1.0934773683547974,1.0934773683547974,
0.27107349038124084,19.663738250732422,0.45880651473999023,2.4821248054504395,0.1848442554473877,3.6890366077423096,8,1599,0.7354061603546143,0.7354061603546143,
,,,,,,9,1649,1.0186132192611694,1.0186132192611694,
0.37185749411582947,81.20905303955078,2.6741113662719727,17.70794677734375,0.15101194381713867,2.689202070236206,9,1699,1.21979558467865,1.21979558467865,
0.4052322506904602,38.873043060302734,0.7865478992462158,4.147327899932861,0.1896517276763916,2.4677205085754395,9,1749,0.8169692754745483,0.8169692754745483,
0.34939098358154297,45.72022247314453,0.7555439472198486,3.945267677307129,0.19150638580322266,2.8621232509613037,9,1799,1.2009340524673462,1.2009340524673462,
,,,,,,10,1849,0.9684516787528992,0.9684516787528992,
0.40927788615226746,49.20995330810547,1.0304689407348633,6.134005546569824,0.16799283027648926,2.4433276653289795,10,1899,0.9476252794265747,0.9476252794265747,
0.4620199501514435,49.46167755126953,1.0261821746826172,5.682644367218018,0.18058180809020996,2.1644086837768555,10,1949,1.074532389640808,1.074532389640808,
0.2840461730957031,39.27611541748047,0.7495856285095215,4.208433151245117,0.1781151294708252,3.520554542541504,10,1999,1.3523178100585938,1.3523178100585938,
,,,,,,10,1999,,,0.8018373847007751
,,,,,,11,2049,0.8039098978042603,0.8039098978042603,
0.35437285900115967,46.89409255981445,0.9594478607177734,6.812391757965088,0.140838623046875,2.8218865394592285,11,2099,0.8443460464477539,0.8443460464477539,
0.4030078649520874,29.128028869628906,0.7503242492675781,3.5667884349823,0.21036410331726074,2.4813411235809326,11,2149,1.0323415994644165,1.0323415994644165,
,,,,,,12,2199,0.8572794198989868,0.8572794198989868,
