batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_DE_loss,train_direction_loss,train_loss,val_loss
,,,,,,0,49,622900.75,0.10896079987287521,622900.875,
0.8571389317512512,52.95359802246094,3.900031328201294,8.596070289611816,0.45369935035705566,1.1666719913482666,0,99,630495.375,0.12084823846817017,630495.5,
0.6081845164299011,32.72557830810547,1.0796029567718506,3.019519329071045,0.3575413227081299,1.6442378759384155,0,149,557302.375,0.08672836422920227,557302.4375,
,,,,,,1,199,572950.375,0.11354469507932663,572950.5,
0.5439831018447876,53.25926208496094,1.103421926498413,7.126229286193848,0.15483951568603516,1.8382923603057861,1,249,609878.3125,0.0842834934592247,609878.375,
0.644718587398529,30.45268440246582,1.1699657440185547,3.1935596466064453,0.3663516044616699,1.551064372062683,1,299,711619.625,0.11424974352121353,711619.75,
0.6136595606803894,27.50266456604004,1.1645431518554688,3.443105459213257,0.3382246494293213,1.629568099975586,1,349,618980.625,0.11531952768564224,618980.75,
,,,,,,2,399,641850.375,0.09325361996889114,641850.4375,
0.583410382270813,47.56550216674805,1.2133126258850098,7.668363571166992,0.15822315216064453,1.7140593528747559,2,449,718249.8125,0.09479864686727524,718249.9375,
0.6722977757453918,28.406391143798828,1.2099108695983887,3.407526731491089,0.3550701141357422,1.4874361753463745,2,499,658581.25,0.09821866452693939,658581.375,
0.5941448211669922,44.90016555786133,2.1147069931030273,6.267510414123535,0.33740782737731934,1.683091402053833,2,549,627975.625,0.11339197307825089,627975.75,
,,,,,,3,599,539770.625,0.07269154489040375,539770.6875,
0.5733335018157959,50.6253776550293,1.3415770530700684,8.205659866333008,0.16349411010742188,1.7441855669021606,3,649,594465.0,0.10501973330974579,594465.125,
0.6815623641014099,26.2535457611084,1.0841898918151855,3.5113465785980225,0.30876755714416504,1.4672170877456665,3,699,415634.15625,0.08132847398519516,415634.25,
0.4857674241065979,40.2368278503418,0.9554407596588135,4.113635540008545,0.23226189613342285,2.058598279953003,3,749,515972.1875,0.07640885561704636,515972.25,
,,,,,,4,799,601824.25,0.13845500349998474,601824.375,
0.5326652526855469,48.62499237060547,1.145444393157959,7.271307468414307,0.15752935409545898,1.8773516416549683,4,849,400299.0,0.07855736464262009,400299.09375,
0.6370077729225159,27.667640686035156,1.092911958694458,3.417943000793457,0.31975722312927246,1.569839596748352,4,899,473960.625,0.08847092092037201,473960.71875,
,,,,,,5,949,460254.8125,0.09561552107334137,460254.90625,
0.563270092010498,44.44398880004883,1.1822209358215332,4.8168110847473145,0.245436429977417,1.7753472328186035,5,999,462935.46875,0.08077654987573624,462935.5625,
0.6530820727348328,23.604761123657227,1.0309433937072754,2.941757917404175,0.3504514694213867,1.5312011241912842,5,1049,541375.0625,0.08901109546422958,541375.125,
0.6266254782676697,17.177230834960938,0.8415989875793457,1.8832528591156006,0.4468858242034912,1.595849633216858,5,1099,507072.5625,0.08765518665313721,507072.65625,
,,,,,,6,1149,487393.03125,0.10854080319404602,487393.125,
0.5422548055648804,41.290897369384766,1.073622465133667,4.414655685424805,0.2431950569152832,1.8441513776779175,6,1199,491674.3125,0.07435890287160873,491674.375,
0.6149899363517761,19.493587493896484,0.856234073638916,2.416835308074951,0.3542790412902832,1.6260429620742798,6,1249,582487.5,0.08890694379806519,582487.5625,
0.5291828513145447,31.617822647094727,0.990898609161377,3.5340850353240967,0.2803833484649658,1.889706015586853,6,1299,559596.5,0.086649090051651,559596.5625,
,,,,,,7,1349,545211.625,0.11918656527996063,545211.75,
0.6035622358322144,60.17863464355469,2.970892906188965,12.2051420211792,0.24341320991516113,1.6568299531936646,7,1399,537017.25,0.10374840348958969,537017.375,
0.6402261257171631,17.573984146118164,0.8929321765899658,2.209925413131714,0.4040553569793701,1.5619481801986694,7,1449,413414.625,0.10647818446159363,413414.71875,
0.590459942817688,24.41529655456543,0.9344727993011475,2.8369979858398438,0.329387903213501,1.693595051765442,7,1499,543619.375,0.08085636794567108,543619.4375,
,,,,,,8,1549,418677.28125,0.07614333182573318,418677.34375,
0.48631447553634644,38.74943542480469,0.9534440040588379,3.4608988761901855,0.27549028396606445,2.0562825202941895,8,1599,463851.375,0.09505745023488998,463851.46875,
0.5746012330055237,28.328075408935547,1.0105483531951904,3.1738860607147217,0.31839466094970703,1.7403374910354614,8,1649,585400.9375,0.07311364263296127,585401.0,
0.5474074482917786,37.91862487792969,1.0255367755889893,3.443885564804077,0.29778480529785156,1.82679283618927,8,1699,471847.5,0.07397358864545822,471847.5625,
,,,,,,9,1749,502547.25,0.07704254239797592,502547.3125,
0.5239436626434326,61.03328323364258,2.9024314880371094,12.092527389526367,0.24001860618591309,1.9086021184921265,9,1799,512665.4375,0.07989508658647537,512665.53125,
0.6989575028419495,20.532855987548828,0.9459435939788818,2.7863337993621826,0.339493989944458,1.4307020902633667,9,1849,390283.0,0.0827697291970253,390283.09375,
,,,,,,10,1899,358496.25,0.07629101723432541,358496.3125,
0.5102856755256653,35.94285202026367,1.1687192916870117,4.401701927185059,0.2655153274536133,1.9596866369247437,10,1949,584149.0,0.08478060364723206,584149.0625,
0.588237464427948,24.472042083740234,0.9563419818878174,2.7264039516448975,0.3507704734802246,1.6999937295913696,10,1999,402169.375,0.08209477365016937,402169.46875,
,,,,,,10,1999,,,,546228.5
0.46237143874168396,34.49103546142578,0.9459004402160645,3.369680166244507,0.28070926666259766,2.1627633571624756,10,2049,607263.5,0.11539068818092346,607263.625,
,,,,,,11,2099,470326.0625,0.07744356244802475,470326.125,
