batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,train_vae_loss,val_loss
,,,,,,0,64.74249267578125,235.62353515625,201.39462280273438,49,525.6984252929688,23.937747955322266,
0.454314261674881,58.37934875488281,1.89176607131958,8.738612174987793,0.21648359298706055,2.2011196613311768,0,58.48475646972656,154.09759521484375,169.5487823486328,99,393.42462158203125,11.293492317199707,
0.27105188369750977,21.226116180419922,0.41645383834838867,2.2217934131622314,0.1874403953552246,3.689330577850342,0,60.32855987548828,165.29339599609375,161.6656494140625,149,392.1463928222656,4.858800888061523,
,,,,,,1,60.06755828857422,153.0214080810547,157.30841064453125,199,373.6689758300781,3.2715978622436523,
0.3819294571876526,36.13718032836914,1.0215685367584229,4.875571250915527,0.20952796936035156,2.6182847023010254,1,56.607269287109375,146.14898681640625,157.2115478515625,249,362.4287109375,2.460883855819702,
0.25649043917655945,19.404647827148438,0.4063119888305664,2.1197547912597656,0.19167876243591309,3.8987808227539062,1,59.27516174316406,158.25802612304688,156.03155517578125,299,375.6969299316406,2.132173776626587,
,,,,,,2,64.66877746582031,170.5910186767578,165.6134033203125,349,402.7979431152344,1.9247527122497559,
0.3657900094985962,38.38666534423828,0.729210615158081,3.419121742248535,0.21327424049377441,2.733808994293213,2,63.665992736816406,145.50828552246094,153.71075439453125,399,364.52264404296875,1.6376209259033203,
0.2637040615081787,18.66756820678711,0.3601837158203125,1.8607308864593506,0.1935710906982422,3.7921295166015625,2,56.214595794677734,138.55020141601562,153.19888305664062,449,349.3297119140625,1.3660334348678589,
,,,,,,3,62.459075927734375,160.5478515625,151.67608642578125,499,376.0193786621094,1.3363518714904785,
0.4085876941680908,32.77750778198242,0.7135951519012451,3.974698066711426,0.1795344352722168,2.4474551677703857,3,58.990421295166016,135.41734313964844,156.0618896484375,549,351.66351318359375,1.1938802003860474,
0.27720627188682556,47.947723388671875,1.1543827056884766,5.707251071929932,0.20226597785949707,3.607421875,3,57.37640380859375,147.69122314453125,152.01515197753906,599,358.2684326171875,1.1856715679168701,
,,,,,,4,60.3447380065918,140.34844970703125,151.54298400878906,649,353.27734375,1.041181206703186,
0.37077146768569946,38.04276657104492,0.7373788356781006,3.4904825687408447,0.21125411987304688,2.6970791816711426,4,66.10997009277344,141.22999572753906,161.61892700195312,699,370.1080322265625,1.149106502532959,
0.2654534876346588,18.027179718017578,0.4321787357330322,2.1113598346710205,0.20469212532043457,3.7671382427215576,4,56.981475830078125,145.43838500976562,152.42947387695312,749,355.9914855957031,1.1421396732330322,
,,,,,,5,57.137451171875,132.42715454101562,147.86647033691406,799,338.36846923828125,0.9373839497566223,
0.35572245717048645,36.89509201049805,0.6610186100006104,3.1945037841796875,0.2069237232208252,2.811180353164673,5,57.82182312011719,135.4849853515625,158.08480834960938,849,352.503173828125,1.1115325689315796,
0.2763645052909851,18.938323974609375,0.41439175605773926,2.0310449600219727,0.20402884483337402,3.6184096336364746,5,53.81189727783203,147.39454650878906,151.2554931640625,899,353.4493103027344,0.9873912930488586,
,,,,,,6,55.51464080810547,147.17539978027344,151.9935302734375,949,355.5885314941406,0.9049251079559326,
0.3658254146575928,41.62367248535156,1.0321993827819824,4.900579452514648,0.21062803268432617,2.73354434967041,6,63.498600006103516,145.98480224609375,149.96231079101562,999,360.55108642578125,1.1053919792175293,
0.28617697954177856,20.950353622436523,0.4281647205352783,2.0707848072052,0.20676445960998535,3.4943411350250244,6,60.49790954589844,143.43829345703125,150.92303466796875,1049,355.8549499511719,0.9957058429718018,
,,,,,,7,51.834571838378906,125.0181884765625,144.61642456054688,1099,322.2699890136719,0.8008079528808594,
0.361729234457016,34.982425689697266,0.6166582107543945,3.361940860748291,0.18342328071594238,2.764498710632324,7,57.678680419921875,124.48828887939453,156.58407592773438,1149,339.6182861328125,0.8672488927841187,
0.3169625997543335,25.41691780090332,0.5232367515563965,2.4471447467803955,0.21381521224975586,3.1549463272094727,7,53.330787658691406,118.81626892089844,148.23974609375,1199,321.2033996582031,0.8166029453277588,
,,,,,,8,58.14344787597656,129.3626251220703,154.58819580078125,1249,342.92559814453125,0.8312982320785522,
0.37265533208847046,33.0785026550293,0.6847727298736572,3.208702564239502,0.2134110927581787,2.6834447383880615,8,57.299217224121094,132.99456787109375,154.63314819335938,1299,345.7887268066406,0.8617876768112183,
0.3188720643520355,42.1356201171875,1.1307580471038818,5.387068748474121,0.20990228652954102,3.136054039001465,8,66.05011749267578,143.5941162109375,157.29421997070312,1349,367.7778015136719,0.8393487930297852,
,,,,,,9,55.953125,135.35171508789062,142.1016845703125,1399,334.237548828125,0.8310524821281433,
0.3504526913166046,29.340862274169922,0.5695466995239258,3.651071071624756,0.15599441528320312,2.853452205657959,9,56.104026794433594,125.15750122070312,144.12442016601562,1449,326.213623046875,0.827705442905426,
0.29507774114608765,23.594364166259766,0.4708290100097656,2.273289680480957,0.20711350440979004,3.38893723487854,9,58.14585494995117,148.94210815429688,155.0643768310547,1499,362.9787292480469,0.8263790011405945,
,,,,,,10,57.67427062988281,131.9300537109375,148.2896728515625,1549,338.6634521484375,0.7694578170776367,
0.37484976649284363,28.812763214111328,0.6747915744781494,4.357791423797607,0.1548471450805664,2.6677355766296387,10,55.650413513183594,123.36099243164062,146.0827178955078,1599,325.8870544433594,0.7929511666297913,
0.3111813962459564,23.758756637573242,0.5057106018066406,2.546065092086792,0.1986243724822998,3.213559627532959,10,59.54011917114258,129.9666748046875,147.13116455078125,1649,337.3882141113281,0.7502888441085815,
,,,,,,11,56.534400939941406,128.55503845214844,151.96792602539062,1699,337.7741394042969,0.7167700529098511,
0.4113190472126007,46.633365631103516,1.4218831062316895,10.024456977844238,0.14184141159057617,2.4312028884887695,11,54.486419677734375,119.77308654785156,145.184814453125,1749,320.3300476074219,0.8856972455978394,
0.31437939405441284,26.16429901123047,0.523505449295044,2.6114094257354736,0.2004685401916504,3.1808700561523438,11,58.977508544921875,126.13748931884766,157.1699676513672,1799,343.02203369140625,0.7370744943618774,
,,,,,,12,58.007408142089844,117.72442626953125,150.42611694335938,1849,326.8775634765625,0.7195977568626404,
0.38076481223106384,32.751461029052734,0.6363210678100586,2.958430051803589,0.2150874137878418,2.626293182373047,12,59.33314895629883,132.66477966308594,159.587158203125,1899,352.36114501953125,0.7760583162307739,
0.32619786262512207,26.931657791137695,0.5560731887817383,2.721996545791626,0.20428872108459473,3.0656237602233887,12,61.180335998535156,132.49673461914062,156.58807373046875,1949,351.03173828125,0.7666245698928833,
,,,,,,13,62.64005661010742,134.89599609375,158.98570251464844,1999,357.2917175292969,0.7699655294418335,
,,,,,,13,,,,1999,,,272.4551086425781
0.34208640456199646,39.57234191894531,0.6687469482421875,4.199018955230713,0.15926265716552734,2.9232380390167236,13,59.99359130859375,128.73477172851562,155.73265075683594,2049,345.17974853515625,0.7187442779541016,
0.29540419578552246,40.7427978515625,1.0350146293640137,5.20881986618042,0.19870424270629883,3.3851921558380127,13,53.548980712890625,123.18576049804688,144.58006286621094,2099,322.1479187011719,0.8330956101417542,
,,,,,,14,55.00084686279297,118.75010681152344,147.272705078125,2149,321.7261657714844,0.7025501728057861,
0.3705926835536957,35.08150863647461,0.72062087059021,3.2982282638549805,0.21848726272583008,2.6983802318573,14,54.549251556396484,135.62649536132812,153.87722778320312,2199,344.7358093261719,0.6828194856643677,
0.2944270372390747,24.942874908447266,0.4859888553619385,2.4214887619018555,0.2006983757019043,3.3964271545410156,14,53.74541473388672,117.47415161132812,142.39349365234375,2249,314.32421875,0.7111721038818359,
,,,,,,15,57.55632019042969,126.67294311523438,151.02484130859375,2299,335.92584228515625,0.6717431545257568,
0.3891243040561676,28.111026763916016,0.7041337490081787,3.1571311950683594,0.22302961349487305,2.5698728561401367,15,65.65193176269531,151.29452514648438,158.09600830078125,2349,375.7772521972656,0.7347617149353027,
0.29000145196914673,24.286935806274414,0.5186872482299805,2.6308634281158447,0.19715476036071777,3.448258399963379,15,60.19725799560547,127.99735260009766,149.87149047851562,2399,338.7783203125,0.7122238874435425,
,,,,,,16,58.107086181640625,123.93931579589844,148.99810791015625,2449,331.743896484375,0.6993662118911743,
0.4038779139518738,43.894901275634766,1.5156948566436768,6.592129707336426,0.22992491722106934,2.4759957790374756,16,54.606117248535156,122.15927124023438,141.76821899414062,2499,319.24505615234375,0.7114792466163635,
0.25512081384658813,14.35287857055664,0.34676671028137207,1.7442065477371216,0.19881057739257812,3.9197115898132324,16,56.60980987548828,151.86448669433594,148.25326538085938,2549,357.427001953125,0.6994236707687378,
0.2503856420516968,17.60724639892578,0.3453941345214844,1.7211923599243164,0.20067143440246582,3.9938395023345947,16,56.562747955322266,134.11920166015625,147.5623779296875,2599,338.8866271972656,0.6423166394233704,
,,,,,,17,55.567779541015625,121.37382507324219,148.00416564941406,2649,325.6383361816406,0.6925568580627441,
0.3934250473976135,26.70345687866211,0.582146167755127,2.6999001502990723,0.21561765670776367,2.5417802333831787,17,64.49302673339844,134.71060180664062,155.59849548339844,2699,355.51153564453125,0.7093865871429443,
0.25880536437034607,15.544678688049316,0.39400386810302734,1.9579030275344849,0.20123767852783203,3.8639075756073,17,64.68180084228516,139.4348602294922,151.28179931640625,2749,356.0903015136719,0.691857099533081,
,,,,,,18,52.484893798828125,119.32763671875,143.2089080810547,2799,315.7328186035156,0.7113775014877319,
0.38003602623939514,34.174556732177734,0.6436562538146973,4.26272439956665,0.15099644660949707,2.6313295364379883,18,58.205963134765625,130.86532592773438,151.38641357421875,2849,341.08660888671875,0.6289111375808716,
0.28585973381996155,33.75238800048828,0.8705341815948486,4.219372749328613,0.20631837844848633,3.4982190132141113,18,59.378360748291016,120.47262573242188,153.831787109375,2899,334.2975158691406,0.6147827506065369,
,,,,,,19,66.8748779296875,141.98733520507812,157.222412109375,2949,366.760009765625,0.6753796935081482,
0.3622744381427765,27.46856117248535,0.606738805770874,4.042963027954102,0.15007281303405762,2.760338306427002,19,60.910552978515625,128.49404907226562,152.27169799804688,2999,342.3869323730469,0.7106102705001831,
0.27288350462913513,18.217256546020508,0.4547600746154785,2.1067488193511963,0.21585869789123535,3.664567470550537,19,53.914981842041016,125.27584838867188,148.45394897460938,3049,328.3336181640625,0.6888316869735718,
,,,,,,20,59.385215759277344,129.67239379882812,151.14500427246094,3099,340.8864440917969,0.683806300163269,
0.373776912689209,28.820287704467773,0.6271605491638184,4.155854225158691,0.1509101390838623,2.6753926277160645,20,57.770851135253906,122.14028930664062,149.42726135253906,3149,330.01171875,0.6732766628265381,
0.3051269054412842,21.647296905517578,0.43813347816467285,2.0772180557250977,0.2109231948852539,3.277324914932251,20,55.93873596191406,121.13130187988281,146.40382385253906,3199,324.0614318847656,0.5875649452209473,
,,,,,,21,56.7984619140625,120.65733337402344,153.43399047851562,3249,331.5302734375,0.6404892206192017,
0.410379022359848,52.92115783691406,1.6315467357635498,10.638596534729004,0.15336108207702637,2.436771869659424,21,56.88434600830078,123.3909683227539,148.0863494873047,3299,329.1068420410156,0.7451842427253723,
0.29580000042915344,21.099241256713867,0.45807719230651855,2.305816888809204,0.19866156578063965,3.380662679672241,21,53.67604446411133,114.9302978515625,146.85569763183594,3349,316.0805969238281,0.6185756325721741,
,,,,,,22,52.53980255126953,115.92832946777344,147.7229461669922,3399,316.83819580078125,0.6471098065376282,
0.3664901852607727,38.31198501586914,0.6737842559814453,4.689498424530029,0.14367938041687012,2.728585958480835,22,58.379207611083984,119.95582580566406,149.08026123046875,3449,328.06982421875,0.654503345489502,
0.29248112440109253,22.803977966308594,0.44202208518981934,2.2321126461029053,0.198028564453125,3.4190239906311035,22,62.10175323486328,132.94923400878906,147.51719665527344,3499,343.2171936035156,0.6489790678024292,
,,,,,,23,54.763362884521484,113.63578033447266,151.9689178466797,3549,320.9951477050781,0.6271184086799622,
0.3806329071521759,36.236366271972656,1.0377237796783447,6.448697566986084,0.1609199047088623,2.6272032260894775,23,58.17570495605469,133.177978515625,147.39158630371094,3599,339.4538879394531,0.7086236476898193,
0.2790258228778839,20.698890686035156,0.42191338539123535,2.1029505729675293,0.20062923431396484,3.583897829055786,23,52.51505661010742,109.07180786132812,151.59457397460938,3649,313.7786865234375,0.5972222089767456,
,,,,,,24,56.66819763183594,114.629638671875,148.25079345703125,3699,320.1445617675781,0.5959103107452393,
0.3910806179046631,26.33525276184082,0.6604089736938477,4.062084674835205,0.16257882118225098,2.5570175647735596,24,59.78306579589844,128.00167846679688,151.03184509277344,3749,339.4649963378906,0.648409366607666,
0.27954256534576416,17.34319496154785,0.41873764991760254,2.0080478191375732,0.20852971076965332,3.577272653579712,24,55.90901565551758,119.32048034667969,144.4739532470703,3799,320.3094482421875,0.6060183644294739,
,,,,,,25,56.350486755371094,118.2439193725586,147.54586791992188,3849,322.7215576171875,0.5813008546829224,
0.383316308259964,28.09942626953125,0.5876951217651367,3.227463483810425,0.18209195137023926,2.608811378479004,25,54.44197082519531,116.63429260253906,147.411865234375,3899,319.2310791015625,0.7429386377334595,
0.2562786638736725,14.291037559509277,0.35558247566223145,1.777291178703308,0.20006990432739258,3.9020023345947266,25,57.063804626464844,134.91929626464844,150.58773803710938,3949,343.12744140625,0.5566434860229492,
,,,,,,26,59.89917755126953,125.32237243652344,147.4554901123047,3999,333.286865234375,0.6097984313964844,
,,,,,,26,,,,3999,,,269.1788330078125
0.33763301372528076,27.781461715698242,0.6551849842071533,3.0888640880584717,0.2121119499206543,2.9617955684661865,26,53.50367736816406,133.09613037109375,141.36444091796875,4049,328.60699462890625,0.6427370309829712,
0.2504795491695404,16.42675018310547,0.3592817783355713,1.8072971105575562,0.19879508018493652,3.992341995239258,26,52.902252197265625,126.67205810546875,148.53262329101562,4099,328.73248291015625,0.6255517601966858,
,,,,,,27,57.15312576293945,115.91255187988281,146.69259643554688,4149,320.2988586425781,0.5405536890029907,
0.3995928466320038,31.358932495117188,0.6430602073669434,4.193562030792236,0.15334463119506836,2.502547264099121,27,55.79158401489258,117.58031463623047,156.28085327148438,4199,330.2872314453125,0.6344622373580933,
0.269498348236084,15.563294410705566,0.3840062618255615,1.82586669921875,0.21031451225280762,3.7105977535247803,27,54.18048858642578,116.16484832763672,145.23330688476562,4249,316.15716552734375,0.5785303115844727,
,,,,,,28,50.200592041015625,105.6590805053711,143.90396118164062,4299,300.3087158203125,0.5451172590255737,
0.3985736668109894,39.036624908447266,1.182516098022461,6.524506568908691,0.1812422275543213,2.508946418762207,28,57.814117431640625,123.14726257324219,145.5702362060547,4349,327.1594543457031,0.627846360206604,
0.2718651294708252,19.8044376373291,0.40656161308288574,2.0114762783050537,0.20212101936340332,3.6782944202423096,28,60.41160583496094,126.53678894042969,148.20437622070312,4399,335.7205505371094,0.5677796006202698,
,,,,,,29,63.10009002685547,121.47404479980469,154.56198120117188,4449,339.6922912597656,0.556198000907898,
0.39370477199554443,40.40756607055664,0.8092634677886963,5.0086870193481445,0.16157197952270508,2.5399742126464844,29,57.73443603515625,124.66950988769531,153.13449096679688,4499,336.1028137207031,0.5643735527992249,
