batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_DE_loss,train_direction_loss,train_loss,train_main_loss,train_vae_loss,val_loss
,,,,,,0,49,0.4842946529388428,0.6706065535545349,2.530236005783081,1.2615886926651,0.11374610662460327,
0.2710459232330322,50.770263671875,0.8959684371948242,5.97581672668457,0.1499323844909668,3.6894116401672363,0,99,0.538955569267273,0.6604482531547546,2.217073440551758,0.9676640033721924,0.05000566691160202,
0.2516224980354309,26.97896385192871,0.3700687885284424,3.0102028846740723,0.12293815612792969,3.9742071628570557,0,149,0.4824361503124237,0.6569466590881348,2.274120330810547,1.0804873704910278,0.05425020307302475,
,,,,,,1,199,0.46671828627586365,0.6752561330795288,2.154879570007324,0.9750627875328064,0.03784234821796417,
0.18969511985778809,39.794830322265625,0.36992311477661133,3.809814929962158,0.09709739685058594,5.2716169357299805,1,249,0.4940160810947418,0.6708649396896362,2.150857925415039,0.9476871490478516,0.038289643824100494,
0.23169024288654327,24.753456115722656,0.3502533435821533,3.52135968208313,0.09946537017822266,4.316107749938965,1,299,0.5178494453430176,0.6574629545211792,2.287299394607544,1.076418399810791,0.03556856885552406,
0.16624131798744202,133.3159942626953,1.6906242370605469,17.959699630737305,0.09413433074951172,6.01535177230835,1,349,0.5102142691612244,0.6637049317359924,2.3417725563049316,1.129364013671875,0.03848942741751671,
,,,,,,2,399,0.4285385310649872,0.6607896089553833,1.9824178218841553,0.8607426285743713,0.03234703466296196,
0.20725740492343903,38.973388671875,0.366635799407959,3.943758964538574,0.09296607971191406,4.824918270111084,2,449,0.37642788887023926,0.639599621295929,2.081167697906494,1.0287033319473267,0.03643691539764404,
0.18913322687149048,22.168006896972656,0.29543089866638184,2.546170473098755,0.11602950096130371,5.287278175354004,2,499,0.4340950548648834,0.6343805193901062,2.4269721508026123,1.3217992782592773,0.0366973839700222,
,,,,,,3,549,0.3623724579811096,0.6514886021614075,1.9712951183319092,0.9307352304458618,0.02669883519411087,
0.20556952059268951,36.34149932861328,0.4187889099121094,4.187703609466553,0.10000443458557129,4.864534378051758,3,599,0.4307911992073059,0.6383963823318481,2.007866621017456,0.9130429625511169,0.02563605271279812,
0.22063690423965454,41.37862014770508,0.7860093116760254,5.342536926269531,0.14712285995483398,4.5323333740234375,3,649,0.29129207134246826,0.6297858953475952,2.0563271045684814,1.1078370809555054,0.02741199918091297,
0.1488383412361145,31.312149047851562,0.25122570991516113,2.675889253616333,0.09388494491577148,6.718698501586914,3,699,0.2930486500263214,0.613048255443573,2.0782198905944824,1.1440086364746094,0.028114432469010353,
,,,,,,4,749,0.3443540632724762,0.6043373346328735,1.9024345874786377,0.9239115715026855,0.0298316553235054,
0.1905166059732437,32.945858001708984,0.33054137229919434,3.340789794921875,0.09894108772277832,5.2488861083984375,4,799,0.2937827706336975,0.606410562992096,1.9988322257995605,1.0718024969100952,0.02683648094534874,
0.18910890817642212,27.506446838378906,0.30406713485717773,2.7642552852630615,0.1099996566772461,5.28795862197876,4,849,0.3789975345134735,0.6147621273994446,1.935354471206665,0.9175319671630859,0.02406291477382183,
0.1505691111087799,26.770143508911133,0.2488081455230713,2.534313201904297,0.0981757640838623,6.641468048095703,4,899,0.3074120581150055,0.6002768278121948,1.7400628328323364,0.8072173595428467,0.02515658736228943,
,,,,,,5,949,0.341463565826416,0.5749752521514893,1.7138534784317017,0.7718479633331299,0.025566700845956802,
0.197234645485878,53.520931243896484,0.9337418079376221,9.586535453796387,0.09740138053894043,5.070103168487549,5,999,0.2578781247138977,0.6051889657974243,1.733054757118225,0.8471037149429321,0.022883877158164978,
0.2020406872034073,26.453838348388672,0.34134650230407715,3.3966400623321533,0.1004953384399414,4.949498176574707,5,1049,0.3535390794277191,0.6164865493774414,2.174828052520752,1.1799625158309937,0.024839870631694794,
,,,,,,6,1099,0.374175488948822,0.5790609121322632,1.9879602193832397,1.009376049041748,0.025347832590341568,
0.19253695011138916,31.05038833618164,0.35278892517089844,3.5516958236694336,0.09932971000671387,5.193808078765869,6,1149,0.28154608607292175,0.5979591608047485,1.629578709602356,0.7277129888534546,0.02236045151948929,
0.18970488011837006,25.562171936035156,0.29621076583862305,2.8252177238464355,0.10484528541564941,5.271345615386963,6,1199,0.38830360770225525,0.6038134098052979,1.9120107889175415,0.8914806246757507,0.028413092717528343,
0.1567155420780182,29.275232315063477,0.32276463508605957,3.362776279449463,0.09598159790039062,6.380988121032715,6,1249,0.29913240671157837,0.6036840081214905,1.9239559173583984,0.9991250038146973,0.02201445959508419,
,,,,,,7,1299,0.31956392526626587,0.6005430817604065,2.1432313919067383,1.2008556127548218,0.02226886712014675,
0.22359256446361542,75.7002182006836,1.5902173519134521,15.688755989074707,0.10136032104492188,4.472420692443848,7,1349,0.31834110617637634,0.5646708607673645,1.6942543983459473,0.793415904045105,0.017826469615101814,
0.21151043474674225,28.840970993041992,0.35233426094055176,3.527660608291626,0.09987759590148926,4.727899074554443,7,1399,0.29076841473579407,0.5521687269210815,1.650920033454895,0.7883915305137634,0.019591398537158966,
,,,,,,8,1449,0.28985241055488586,0.5721302628517151,1.6869332790374756,0.8051496148109436,0.019801054149866104,
0.19020722806453705,37.535125732421875,0.3348207473754883,3.3643977642059326,0.0995187759399414,5.257423400878906,8,1499,0.31868988275527954,0.6043847799301147,1.8048843145370483,0.8582383394241333,0.023571236059069633,
