batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_sd,step,train_loss,val_loss
,,,,,,0,189.55490112304688,775.1900634765625,49,964.7449340820312,
0.7170618176460266,23.09742546081543,1.6149468421936035,3.1687192916870117,0.509652853012085,1.3945798873901367,0,192.4982452392578,681.8518676757812,99,874.35009765625,
0.6232302188873291,17.36322593688965,1.1622741222381592,2.342738151550293,0.49611783027648926,1.6045435667037964,0,175.175537109375,646.8399658203125,149,822.0155029296875,
,,,,,,1,179.72105407714844,631.5875244140625,199,811.30859375,
0.6004860997200012,17.095293045043945,0.8830525875091553,2.3589508533477783,0.3743412494659424,1.6653175354003906,1,158.06044006347656,598.37109375,249,756.4315185546875,
0.6163570880889893,11.84269905090332,0.9391269683837891,1.9504555463790894,0.4814910888671875,1.6224360466003418,1,175.8438720703125,629.958740234375,299,805.8026123046875,
0.5383204817771912,8.557367324829102,0.6599929332733154,1.3624037504196167,0.4844326972961426,1.857629418373108,1,190.63351440429688,628.1801147460938,349,818.8135986328125,
,,,,,,2,174.76568603515625,593.333740234375,399,768.0994873046875,
0.6269749999046326,17.528337478637695,0.9605593681335449,3.0691652297973633,0.3129708766937256,1.5949599742889404,2,177.80381774902344,614.1143798828125,449,791.918212890625,
0.6014811992645264,9.295358657836914,0.7252256870269775,1.4409761428833008,0.5032877922058105,1.662562370300293,2,154.6805419921875,576.16259765625,499,730.8432006835938,
,,,,,,3,182.96197509765625,583.0562744140625,549,766.018310546875,
0.6112456917762756,14.181373596191406,1.001528024673462,3.1729907989501953,0.3156416416168213,1.6360033750534058,3,184.3960418701172,591.3762817382812,599,775.7723388671875,
0.6209123134613037,9.231025695800781,0.7613217830657959,1.4818246364593506,0.5137732028961182,1.610533356666565,3,175.25631713867188,579.3151245117188,649,754.5714111328125,
0.5481718182563782,5.857843399047852,0.6855249404907227,1.3854711055755615,0.494795560836792,1.824245572090149,3,206.54148864746094,570.7184448242188,699,777.2598876953125,
,,,,,,4,217.51681518554688,600.957763671875,749,818.4745483398438,
0.5911635756492615,10.42670726776123,0.7678525447845459,2.3014066219329834,0.3336448669433594,1.6915792226791382,4,172.16061401367188,565.9013671875,799,738.0619506835938,
0.5945018529891968,11.554586410522461,0.8581500053405762,1.6590813398361206,0.5172441005706787,1.6820805072784424,4,181.1009521484375,568.0706787109375,849,749.171630859375,
0.5862610936164856,17.527544021606445,0.8876354694366455,1.782796025276184,0.49788951873779297,1.7057245969772339,4,194.16757202148438,565.0880126953125,899,759.2555541992188,
,,,,,,5,162.87086486816406,534.7422485351562,949,697.6131591796875,
0.6151047348976135,19.718935012817383,1.392561674118042,4.448333740234375,0.3130524158477783,1.6257394552230835,5,191.57516479492188,581.205078125,999,772.7802734375,
0.60448157787323,14.24006175994873,0.8845431804656982,1.8130476474761963,0.48787641525268555,1.6543101072311401,5,183.08673095703125,555.017333984375,1049,738.1040649414062,
,,,,,,6,196.7294464111328,540.773193359375,1099,737.5026245117188,
0.586768388748169,20.455110549926758,1.5045976638793945,4.652665138244629,0.32338404655456543,1.7042499780654907,6,178.36949157714844,556.2880859375,1149,734.6575927734375,
0.6522716879844666,11.672831535339355,0.8525936603546143,1.5725162029266357,0.5421843528747559,1.533103585243225,6,172.53282165527344,545.37548828125,1199,717.9083251953125,
0.5449256896972656,9.35234260559082,0.7406761646270752,1.4845860004425049,0.49891090393066406,1.8351126909255981,6,196.7442626953125,551.6502075195312,1249,748.3944091796875,
,,,,,,7,181.6564178466797,566.4909057617188,1299,748.1473388671875,
0.5981462597846985,10.085189819335938,0.7315082550048828,2.3363914489746094,0.3130931854248047,1.6718319654464722,7,182.0921173095703,548.40380859375,1349,730.4959716796875,
0.6360560655593872,13.530550956726074,0.8545949459075928,1.7857306003570557,0.47856879234313965,1.5721884965896606,7,192.66336059570312,580.2576904296875,1399,772.9210205078125,
0.6005458831787109,14.874775886535645,0.8598785400390625,1.7344379425048828,0.49576783180236816,1.6651517152786255,7,189.37222290039062,531.1624755859375,1449,720.5347290039062,
,,,,,,8,166.61029052734375,537.45068359375,1499,704.0609130859375,
0.6184094548225403,16.76515007019043,1.2546064853668213,4.1851654052734375,0.2997746467590332,1.617051601409912,8,192.371337890625,540.830322265625,1549,733.20166015625,
0.6256047487258911,9.833353042602539,0.8152971267700195,1.6063672304153442,0.5075409412384033,1.5984532833099365,8,167.93995666503906,529.3473510742188,1599,697.287353515625,
,,,,,,9,200.8763427734375,546.0795288085938,1649,746.9559326171875,
0.6047008633613586,13.100675582885742,0.8529200553894043,2.875883102416992,0.29657673835754395,1.6537102460861206,9,193.4629669189453,554.0355224609375,1699,747.49853515625,
0.6215788722038269,18.434314727783203,1.1949422359466553,2.574462652206421,0.46415209770202637,1.6088063716888428,9,179.22933959960938,532.5728759765625,1749,711.80224609375,
0.5795114040374756,7.679460525512695,0.7106435298919678,1.3913594484329224,0.5107548236846924,1.7255916595458984,9,195.32672119140625,534.9088134765625,1799,730.235595703125,
,,,,,,10,181.07791137695312,551.2379150390625,1849,732.3157958984375,
0.5989443063735962,19.44271469116211,1.0114500522613525,3.631751537322998,0.2785019874572754,1.6696043014526367,10,183.20205688476562,532.00537109375,1899,715.2073974609375,
0.6092618107795715,12.230066299438477,0.8072342872619629,1.7390196323394775,0.4641892910003662,1.641330599784851,10,176.7740020751953,535.8699951171875,1949,712.64404296875,
