batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,val_loss
,,,,,,0,196.58380126953125,1086.9437255859375,747.2117919921875,49,1388.9755859375,
0.6542317271232605,32.799156188964844,2.0592827796936035,4.392792701721191,0.46878671646118164,1.528510332107544,0,176.61068725585938,858.57666015625,636.9607543945312,99,1154.5543212890625,
0.4989113509654999,6.146143436431885,0.577714204788208,1.2848507165908813,0.44963526725769043,2.004364013671875,0,165.28131103515625,800.85009765625,621.8343505859375,149,1104.900146484375,
,,,,,,1,175.58560180664062,830.366943359375,620.2139892578125,199,1123.190185546875,
0.5709927678108215,25.444849014282227,1.3005170822143555,3.3385872840881348,0.3895411491394043,1.751335620880127,1,182.2763671875,702.3409423828125,597.46337890625,249,1039.772216796875,
0.5340620875358582,7.786078929901123,0.6578423976898193,1.4494061470031738,0.4538702964782715,1.8724415302276611,1,180.02685546875,728.646240234375,600.65185546875,299,1054.9884033203125,
0.4731113910675049,9.459456443786621,0.5999655723571777,1.386801838874817,0.43262529373168945,2.1136672496795654,1,187.84933471679688,756.8125,579.8977661132812,349,1052.228759765625,
,,,,,,2,161.68760681152344,790.8782958984375,580.5811767578125,399,1056.8642578125,
0.5869318842887878,28.29123878479004,1.3789007663726807,4.441110134124756,0.3104856014251709,1.7037752866744995,2,189.01095581054688,768.93212890625,567.7025146484375,449,1046.674072265625,
0.547380805015564,7.717287063598633,0.6451542377471924,1.4019314050674438,0.4601895809173584,1.826881766319275,2,186.10202026367188,716.1402587890625,572.26416015625,499,1023.38525390625,
,,,,,,3,181.79605102539062,762.4935302734375,579.2232666015625,549,1051.3681640625,
0.5712510943412781,25.431577682495117,1.0176801681518555,3.3234243392944336,0.3062143325805664,1.7505437135696411,3,160.05528259277344,766.22802734375,562.6715698242188,599,1025.813232421875,
0.5898609757423401,17.315210342407227,0.969658374786377,2.0514776706695557,0.47266340255737305,1.695314645767212,3,180.7430419921875,675.86376953125,590.786865234375,649,1019.0902099609375,
0.49079617857933044,11.647014617919922,0.6362297534942627,1.4520151615142822,0.4381701946258545,2.037505626678467,3,174.09262084960938,657.8889770507812,540.7359619140625,699,956.726806640625,
,,,,,,4,174.22244262695312,701.7847290039062,560.3313598632812,749,998.3348999023438,
0.5580262541770935,27.988510131835938,1.3481571674346924,4.401178359985352,0.3063173294067383,1.7920304536819458,4,171.27896118164062,648.687255859375,562.9287109375,799,972.911865234375,
0.5634419918060303,10.174664497375488,0.8143036365509033,1.694703221321106,0.480499267578125,1.7748055458068848,4,167.2888946533203,679.9688720703125,549.7229614257812,849,973.351806640625,
0.4798070192337036,9.064974784851074,0.5823230743408203,1.3197534084320068,0.4412362575531006,2.0841712951660156,4,169.30067443847656,604.8358764648438,554.4283447265625,899,941.4967041015625,
,,,,,,5,195.3829345703125,706.7426147460938,558.3485717773438,949,1009.411376953125,
0.5242804884910583,15.791023254394531,0.8028566837310791,2.599031686782837,0.30890607833862305,1.9073760509490967,5,174.6441650390625,651.27392578125,523.1240234375,999,936.0830078125,
0.5876733064651489,16.555707931518555,0.9176256656646729,1.9619512557983398,0.4677107334136963,1.7016258239746094,5,165.5963897705078,638.291015625,528.4136352539062,1049,930.3572998046875,
,,,,,,6,174.2998046875,799.1715698242188,557.8531494140625,1099,1044.5888671875,
0.5130943059921265,19.20182228088379,1.221357822418213,3.8964126110076904,0.31345701217651367,1.9489595890045166,6,181.97877502441406,611.9967651367188,530.5049438476562,1149,927.49267578125,
0.5772567987442017,13.67216968536377,0.8139407634735107,1.7463141679763794,0.46609067916870117,1.7323312759399414,6,178.50074768066406,605.8226318359375,531.67431640625,1199,923.8359375,
0.4864933490753174,9.400847434997559,0.5753879547119141,1.304667592048645,0.4410226345062256,2.0555264949798584,6,188.93731689453125,583.023681640625,507.73187255859375,1249,893.7123413085938,
,,,,,,7,165.21194458007812,623.7481079101562,512.4905395507812,1299,906.9705810546875,
0.4920217990875244,9.743589401245117,0.5844471454620361,1.863932490348816,0.3135559558868408,2.032430410385132,7,188.610595703125,607.4476928710938,499.5643615722656,1349,897.593505859375,
0.5503265857696533,11.553783416748047,0.7205154895782471,1.5796101093292236,0.4561350345611572,1.8171029090881348,7,182.50965881347656,621.4527587890625,515.163330078125,1399,917.14453125,
,,,,,,8,182.67718505859375,724.892578125,536.0532836914062,1449,989.838134765625,
0.5071337223052979,16.966045379638672,1.06319260597229,3.4144415855407715,0.31138110160827637,1.9718666076660156,8,159.00694274902344,580.2962646484375,496.3162536621094,1499,865.9678344726562,
0.5604936480522156,13.16773509979248,0.7460751533508301,1.5899109840393066,0.4692559242248535,1.7841415405273438,8,181.7950439453125,605.48974609375,547.1403198242188,1549,940.7827758789062,
0.5025448799133301,13.47323226928711,0.6979677677154541,1.5884246826171875,0.4394087791442871,1.9898719787597656,8,175.63320922851562,525.9869995117188,489.68328857421875,1599,840.4933471679688,
,,,,,,9,175.13511657714844,650.3097534179688,517.689697265625,1649,930.4122314453125,
0.5058310627937317,12.323420524597168,0.6712350845336914,2.1449151039123535,0.3129425048828125,1.9769445657730103,9,170.59304809570312,503.0096740722656,505.0368957519531,1699,841.8382568359375,
0.5273026823997498,9.964696884155273,0.7071514129638672,1.5652302503585815,0.45178747177124023,1.8964440822601318,9,164.61993408203125,517.2973022460938,490.0096130371094,1749,830.96826171875,
