batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_mean,l_sd,step,train_loss,val_loss
,,,,,,0,1150.5465087890625,819.1353759765625,49,1969.681884765625,
0.1564226746559143,53.388179779052734,0.6890392303466797,7.854094982147217,0.08772993087768555,6.392935276031494,0,906.8533935546875,674.3218994140625,99,1581.1754150390625,
0.16949562728405,35.102779388427734,0.4076547622680664,3.9532132148742676,0.1031198501586914,5.899857044219971,0,794.3165893554688,641.717041015625,149,1436.03369140625,
,,,,,,1,788.8956298828125,640.291015625,199,1429.1865234375,
0.12462589889764786,63.8880615234375,0.7642028331756592,10.936824798583984,0.06987428665161133,8.024014472961426,1,730.9971313476562,626.500732421875,249,1357.497802734375,
0.12469876557588577,25.33941650390625,0.20322799682617188,2.847598075866699,0.07136821746826172,8.019326210021973,1,675.630859375,618.1364135742188,299,1293.767333984375,
0.14935491979122162,25.102890014648438,0.2301623821258545,2.346391201019287,0.09809207916259766,6.695460796356201,1,725.1341552734375,600.62109375,349,1325.7552490234375,
,,,,,,2,698.5551147460938,596.6463623046875,399,1295.201416015625,
0.14217227697372437,32.233699798583984,0.31969547271728516,4.479506492614746,0.07136845588684082,7.033720016479492,2,722.3685302734375,593.224609375,449,1315.5931396484375,
0.13459078967571259,24.435510635375977,0.20490217208862305,2.549396514892578,0.08037281036376953,7.429928779602051,2,797.7528076171875,616.5703125,499,1414.3231201171875,
,,,,,,3,778.6502685546875,614.2828369140625,549,1392.93310546875,
0.12989993393421173,51.69468688964844,0.3918883800506592,6.507173538208008,0.060224056243896484,7.698233127593994,3,644.6527099609375,574.6937866210938,599,1219.346435546875,
0.1898188441991806,81.14431762695312,0.9206516742706299,11.052763938903809,0.08329606056213379,5.268180847167969,3,688.8004760742188,620.5684814453125,649,1309.368896484375,
0.11134883761405945,32.370330810546875,0.2207627296447754,3.125324010848999,0.07063674926757812,8.980785369873047,3,694.7244873046875,575.3164672851562,699,1270.041015625,
,,,,,,4,683.6187744140625,574.67822265625,749,1258.2969970703125,
0.12653785943984985,74.31474304199219,0.9108314514160156,12.519676208496094,0.07275199890136719,7.902773380279541,4,610.7188720703125,573.193115234375,799,1183.911865234375,
0.13839319348335266,35.310951232910156,0.3846859931945801,3.9828834533691406,0.09658479690551758,7.2257890701293945,4,639.3812866210938,546.025146484375,849,1185.406494140625,
0.1377217024564743,24.865625381469727,0.20704936981201172,2.64048171043396,0.07841348648071289,7.261019706726074,4,694.945556640625,580.2420654296875,899,1275.1876220703125,
,,,,,,5,685.978515625,576.1412353515625,949,1262.1197509765625,
0.1406257152557373,34.51948928833008,0.2896692752838135,3.348789691925049,0.08649969100952148,7.111074447631836,5,602.7569580078125,533.6151123046875,999,1136.3720703125,
0.12460959702730179,25.860689163208008,0.22719383239746094,3.283451557159424,0.06919360160827637,8.025063514709473,5,596.4961547851562,542.345947265625,1049,1138.842041015625,
,,,,,,6,651.6165771484375,556.4283447265625,1099,1208.044921875,
0.13431183993816376,41.14773941040039,0.3097991943359375,4.674980163574219,0.06626749038696289,7.445359706878662,6,576.638427734375,545.52490234375,1149,1122.163330078125,
0.1602090448141098,41.37792205810547,0.40023112297058105,5.093286037445068,0.07858014106750488,6.241844654083252,6,590.6943969726562,554.8302001953125,1199,1145.5245361328125,
0.10947426408529282,27.537742614746094,0.18137311935424805,2.603461265563965,0.06966614723205566,9.134567260742188,6,640.1692504882812,538.171142578125,1249,1178.34033203125,
,,,,,,7,608.2915649414062,534.385498046875,1299,1142.677001953125,
0.12953485548496246,34.015567779541016,0.2787332534790039,3.996253490447998,0.0697486400604248,7.7199296951293945,7,534.8912353515625,512.5044555664062,1349,1047.395751953125,
0.14793308079242706,30.598968505859375,0.3180696964263916,3.3413925170898438,0.09519076347351074,6.75981330871582,7,608.8577880859375,534.7876586914062,1399,1143.6455078125,
,,,,,,8,735.5340576171875,555.9386596679688,1449,1291.47265625,
0.12950924038887024,45.414390563964844,0.38356900215148926,5.510097026824951,0.06961202621459961,7.721456527709961,8,537.2835693359375,505.5545654296875,1499,1042.838134765625,
0.1262117326259613,24.078821182250977,0.18524956703186035,2.5578415393829346,0.07242417335510254,7.923193454742432,8,590.8927001953125,559.0086669921875,1549,1149.9013671875,
0.10171618312597275,26.867982864379883,0.18520069122314453,2.829911231994629,0.0654439926147461,9.831277847290039,8,538.09619140625,503.03314208984375,1599,1041.12939453125,
,,,,,,9,544.1488647460938,517.7501220703125,1649,1061.89892578125,
0.12439024448394775,35.561431884765625,0.22943520545959473,3.475249767303467,0.06601977348327637,8.039215087890625,9,516.0138549804688,522.775634765625,1699,1038.78955078125,
0.13153840601444244,23.687660217285156,0.2062532901763916,2.3976569175720215,0.08602285385131836,7.60234260559082,9,520.5676879882812,503.23828125,1749,1023.8059692382812,
0.10431473702192307,40.65323257446289,0.21592974662780762,3.306879758834839,0.06529712677001953,9.586373329162598,9,521.9027709960938,519.2538452148438,1799,1041.1566162109375,
,,,,,,10,560.9783935546875,530.7853393554688,1849,1091.763671875,
0.11967748403549194,39.87852096557617,0.35804224014282227,5.306850910186768,0.06746792793273926,8.355790138244629,10,564.062255859375,502.3367919921875,1899,1066.399169921875,
0.13831152021884918,27.99837303161621,0.26860713958740234,3.694066286087036,0.07271313667297363,7.230055809020996,10,456.3113708496094,496.3631286621094,1949,952.674560546875,
,,,,,,11,511.61114501953125,512.5589599609375,1999,1024.170166015625,
,,,,,,11,,,1999,,1046.0391845703125
