batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_sd,step,train_loss,val_loss
,,,,,,0,734.8682250976562,49,734.8682250976562,
0.15994210541248322,50.135921478271484,0.6568138599395752,7.189267635345459,0.09136033058166504,6.252262115478516,0,628.3567504882812,99,628.3567504882812,
0.18462826311588287,29.689556121826172,0.3926658630371094,3.8136167526245117,0.10296416282653809,5.41628885269165,0,610.7853393554688,149,610.7853393554688,
,,,,,,1,613.1585083007812,199,613.1585083007812,
0.11794031411409378,74.06243133544922,0.8429749011993408,12.825490951538086,0.06572651863098145,8.478864669799805,1,609.177001953125,249,609.177001953125,
0.1167096197605133,27.639297485351562,0.19656157493591309,2.5857532024383545,0.07601714134216309,8.56827449798584,1,607.7554321289062,299,607.7554321289062,
0.13780008256435394,28.4276123046875,0.2897500991821289,3.1622908115386963,0.09162664413452148,7.256889820098877,1,576.5711669921875,349,576.5711669921875,
,,,,,,2,570.4906005859375,399,570.4906005859375,
0.1383770853281021,39.15497589111328,0.49332618713378906,6.504276752471924,0.07584643363952637,7.226630210876465,2,566.6119384765625,449,566.6119384765625,
0.13612493872642517,27.466251373291016,0.20935845375061035,2.9477365016937256,0.07102346420288086,7.346192359924316,2,575.662109375,499,575.662109375,
,,,,,,3,573.43896484375,549,573.43896484375,
0.12385870516300201,45.82731628417969,0.29209446907043457,4.903944969177246,0.05956315994262695,8.073716163635254,3,546.06494140625,599,546.06494140625,
0.18233570456504822,38.480892181396484,0.4674065113067627,4.707945346832275,0.09928035736083984,5.484389305114746,3,604.7410888671875,649,604.7410888671875,
0.1212780550122261,27.284433364868164,0.2059323787689209,2.8401293754577637,0.07250809669494629,8.245514869689941,3,543.8121337890625,699,543.8121337890625,
,,,,,,4,547.5103759765625,749,547.5103759765625,
0.11285718530416489,32.68050765991211,0.20923709869384766,3.1342215538024902,0.06675887107849121,8.860755920410156,4,549.5203247070312,799,549.5203247070312,
0.13749729096889496,28.679649353027344,0.22216367721557617,3.0157711505889893,0.07366728782653809,7.2728705406188965,4,530.1619873046875,849,530.1619873046875,
0.14083348214626312,28.561281204223633,0.25945258140563965,2.714185953140259,0.09559130668640137,7.100584030151367,4,544.7775268554688,899,544.7775268554688,
,,,,,,5,553.7262573242188,949,553.7262573242188,
0.1578609049320221,45.388389587402344,0.4981040954589844,7.359162330627441,0.06768488883972168,6.334691047668457,5,530.0562744140625,999,530.0562744140625,
0.13332800567150116,29.326507568359375,0.21317172050476074,2.860492467880249,0.07452273368835449,7.500299453735352,5,530.8577270507812,1049,530.8577270507812,
,,,,,,6,545.8871459960938,1099,545.8871459960938,
0.12139702588319778,37.806556701660156,0.2576637268066406,4.007148742675781,0.0643010139465332,8.237434387207031,6,556.5093994140625,1149,556.5093994140625,
0.1747121661901474,33.237606048583984,0.33399319648742676,3.3554069995880127,0.09953880310058594,5.723700046539307,6,541.099853515625,1199,541.099853515625,
0.13603800535202026,92.28269958496094,0.9875087738037109,12.208054542541504,0.08088994026184082,7.350887298583984,6,528.4465942382812,1249,528.4465942382812,
,,,,,,7,522.147705078125,1299,522.147705078125,
0.11022641509771347,30.382375717163086,0.20562529563903809,3.0874297618865967,0.06660079956054688,9.072236061096191,7,511.1283264160156,1349,511.1283264160156,
0.14186163246631622,21.05895233154297,0.20163846015930176,2.1312224864959717,0.09461164474487305,7.049122333526611,7,525.1097412109375,1399,525.1097412109375,
,,,,,,8,533.869140625,1449,533.869140625,
0.12434755265712738,42.458255767822266,0.3226897716522217,4.850186347961426,0.06653141975402832,8.041975975036621,8,509.6488037109375,1499,509.6488037109375,
0.10746464133262634,26.28483009338379,0.17663002014160156,2.471889019012451,0.07145547866821289,9.305386543273926,8,549.6934814453125,1549,549.6934814453125,
0.1173575222492218,33.16741180419922,0.20606589317321777,3.0641002655029297,0.06725168228149414,8.520970344543457,8,498.329345703125,1599,498.329345703125,
,,,,,,9,524.1700439453125,1649,524.1700439453125,
0.11340880393981934,36.981475830078125,0.329761266708374,4.938458442687988,0.06677412986755371,8.817657470703125,9,522.9166259765625,1699,522.9166259765625,
0.1200253888964653,24.51272964477539,0.17868399620056152,2.6733691692352295,0.06683850288391113,8.331570625305176,9,508.115234375,1749,508.115234375,
0.12592972815036774,97.31835174560547,0.9094099998474121,13.215563774108887,0.06881356239318848,7.940937042236328,9,525.4940185546875,1799,525.4940185546875,
,,,,,,10,540.4915771484375,1849,540.4915771484375,
0.11538748443126678,36.92092514038086,0.21350669860839844,3.388817548751831,0.0630033016204834,8.666450500488281,10,503.12200927734375,1899,503.12200927734375,
0.16404344141483307,30.874460220336914,0.325054407119751,3.306519031524658,0.09830713272094727,6.095946311950684,10,513.2619018554688,1949,513.2619018554688,
,,,,,,11,534.1073608398438,1999,534.1073608398438,
,,,,,,11,,1999,,611.0391235351562
0.13914525508880615,62.511451721191406,0.6849331855773926,10.738422393798828,0.06378340721130371,7.186734676361084,11,522.54345703125,2049,522.54345703125,
0.15453960001468658,34.22235870361328,0.3392775058746338,3.6482880115509033,0.09299635887145996,6.4708333015441895,11,538.44873046875,2099,538.44873046875,
0.12244737893342972,25.945669174194336,0.18677091598510742,2.5772273540496826,0.07246971130371094,8.166773796081543,11,502.9923095703125,2149,502.9923095703125,
,,,,,,12,510.16790771484375,2199,510.16790771484375,
0.1291857361793518,38.916839599609375,0.337979793548584,5.464206218719482,0.06185340881347656,7.740793228149414,12,496.41729736328125,2249,496.41729736328125,
