batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train/vae_loss,train_main_loss,val_main_loss
,,,,,,0,49,0.3418034315109253,11.068528175354004,
0.5840257406234741,103.17101287841797,4.1710896492004395,20.293588638305664,0.2055373191833496,1.712253212928772,0,99,0.2553107738494873,5.511417388916016,
0.27564537525177,94.78702545166016,1.9907853603363037,14.468774795532227,0.13759183883666992,3.627849817276001,0,149,0.1772458404302597,4.206480026245117,
,,,,,,1,199,0.14800803363323212,3.4476537704467773,
0.557174026966095,64.7745590209961,1.4102632999420166,10.665456771850586,0.13222718238830566,1.7947713136672974,1,249,0.16308268904685974,2.6291873455047607,
0.42472943663597107,40.34980392456055,0.9052035808563232,4.506633281707764,0.20086026191711426,2.3544399738311768,1,299,0.07310040295124054,1.8413162231445312,
0.27224358916282654,24.748001098632812,0.4889986515045166,2.2612860202789307,0.2162480354309082,3.6731810569763184,1,349,0.08735601603984833,2.711474657058716,
,,,,,,2,399,0.06122631952166557,1.3882243633270264,
0.37713852524757385,51.54100036621094,0.8348793983459473,5.005156993865967,0.16680383682250977,2.651545763015747,2,449,0.05207345634698868,1.3963823318481445,
0.3329375386238098,35.809295654296875,0.7823827266693115,3.522977113723755,0.22207999229431152,3.0035665035247803,2,499,0.043620482087135315,1.433978796005249,
0.24146050214767456,28.24030303955078,0.5401902198791504,3.9483444690704346,0.13681435585021973,4.1414642333984375,2,549,0.03719788417220116,1.4128117561340332,
,,,,,,3,599,0.038303472101688385,1.1791927814483643,
0.3050142228603363,54.6113166809082,1.3860130310058594,10.286784172058105,0.13473725318908691,3.278535842895508,3,649,0.02939971722662449,0.9403268098831177,
0.2731936573982239,28.80327796936035,0.47960448265075684,2.4587414264678955,0.19506096839904785,3.6604068279266357,3,699,0.03357601910829544,0.9940037131309509,
0.3049651086330414,38.882606506347656,0.6280105113983154,4.1253533363342285,0.15223193168640137,3.2790634632110596,3,749,0.04021013155579567,1.2318165302276611,
,,,,,,4,799,0.02971254289150238,1.0594797134399414,
0.3651145100593567,67.77369689941406,1.1536681652069092,7.802420616149902,0.14786028861999512,2.7388668060302734,4,849,0.02586984634399414,0.8409761786460876,
0.24497434496879578,22.554344177246094,0.4303164482116699,2.718148708343506,0.15831232070922852,4.082059860229492,4,899,0.028966397047042847,1.3120613098144531,
,,,,,,5,949,0.032200925052165985,1.2933014631271362,
0.26348450779914856,42.077362060546875,0.8070652484893799,5.422195911407471,0.14884471893310547,3.7952895164489746,5,999,0.030421556904911995,1.1194058656692505,
0.5031917095184326,47.908302307128906,1.1963682174682617,5.4827423095703125,0.21820616722106934,1.9873141050338745,5,1049,0.0243782140314579,1.0762240886688232,
0.4849209189414978,40.749752044677734,0.8886270523071289,3.9310479164123535,0.22605347633361816,2.062191963195801,5,1099,0.02687012031674385,0.8839226961135864,
,,,,,,6,1149,0.032864250242710114,1.4370756149291992,
0.282239705324173,50.508052825927734,1.2405674457550049,7.603264808654785,0.1631624698638916,3.5430877208709717,6,1199,0.02295578643679619,0.9646652936935425,
0.2753221094608307,21.744966506958008,0.44818830490112305,2.0962624549865723,0.21380352973937988,3.6321094036102295,6,1249,0.033627063035964966,1.5213557481765747,
0.2976078391075134,26.964336395263672,0.47980713844299316,3.4412386417388916,0.13942861557006836,3.360126495361328,6,1299,0.022160816937685013,0.796485185623169,
,,,,,,7,1349,0.023194003850221634,1.0950559377670288,
0.433113157749176,65.37146759033203,1.3815817832946777,9.898896217346191,0.13956928253173828,2.308865547180176,7,1399,0.02364756539463997,1.136589765548706,
0.36993932723999023,51.406036376953125,0.9632883071899414,4.391308307647705,0.21936249732971191,2.703145980834961,7,1449,0.027156861498951912,0.9870356917381287,
0.2640194892883301,34.9661979675293,0.6684398651123047,4.279909133911133,0.15618085861206055,3.7875993251800537,7,1499,0.022132735699415207,0.9067713022232056,
,,,,,,8,1549,0.024041667580604553,1.1748671531677246,
0.41253527998924255,53.24380874633789,0.9143452644348145,6.017744064331055,0.15194153785705566,2.42403507232666,8,1599,0.019881900399923325,0.859671950340271,
0.3094433546066284,39.02052688598633,0.7061481475830078,4.34058141708374,0.16268515586853027,3.231609344482422,8,1649,0.019419554620981216,0.834902286529541,
0.3139168322086334,43.28079605102539,0.6595382690429688,3.58769154548645,0.18383359909057617,3.1855568885803223,8,1699,0.018324537202715874,0.8487330675125122,
,,,,,,9,1749,0.024825166910886765,1.3836464881896973,
0.5067615509033203,53.57579803466797,1.27443265914917,6.3588433265686035,0.20041894912719727,1.973314642906189,9,1799,0.02016444131731987,0.7169650197029114,
0.35828784108161926,49.95283126831055,0.7727124691009521,5.241150379180908,0.1474318504333496,2.7910521030426025,9,1849,0.02044331096112728,0.8465371131896973,
,,,,,,10,1899,0.021885666996240616,0.8773177862167358,
0.32846707105636597,37.3001708984375,0.6563739776611328,4.3003692626953125,0.1526319980621338,3.044445276260376,10,1949,0.025352217257022858,0.8317835330963135,
0.3704415261745453,91.73927307128906,2.6396007537841797,18.025102615356445,0.1464402675628662,2.69948148727417,10,1999,0.018596988171339035,0.8068746328353882,
,,,,,,10,1999,,,0.7191631197929382
