batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cos,l_mean,l_sd,l_var,step,train_loss,train_vae_loss,val_loss
,,,,,,0,0.3303993046283722,0.12082133442163467,0.10153211653232574,0.12385062128305435,49,1.0177251100540161,0.4525872766971588,
0.8129453659057617,61.147064208984375,4.1056318283081055,11.552434921264648,0.3553910255432129,1.2300949096679688,0,0.3125290274620056,0.09483270347118378,0.09229113161563873,0.12081381678581238,99,0.8563982248306274,0.34466397762298584,
0.6935203671455383,26.18592071533203,1.1475961208343506,3.538116455078125,0.3243522644042969,1.4419187307357788,0,0.29945021867752075,0.08116159588098526,0.08922450244426727,0.12274916470050812,149,0.8006221055984497,0.31851089000701904,
,,,,,,1,0.2904297113418579,0.08088997006416321,0.08662556856870651,0.12972158193588257,199,0.6581416130065918,0.18722423911094666,
0.5933165550231934,38.94158172607422,1.159684419631958,5.0368218421936035,0.2302412986755371,1.6854408979415894,1,0.25589925050735474,0.0735190361738205,0.08391791582107544,0.125230073928833,249,0.5326012969017029,0.10674210637807846,
0.5608630180358887,33.04388427734375,1.012460470199585,4.411403656005859,0.22950983047485352,1.7829666137695312,1,0.24778376519680023,0.07876750081777573,0.08263318240642548,0.12664243578910828,299,0.4902538061141968,0.0684051364660263,
,,,,,,2,0.22705760598182678,0.06937912106513977,0.08282256126403809,0.13700832426548004,349,0.4411202669143677,0.0481601357460022,
0.6680219173431396,39.95779037475586,1.2681241035461426,5.703404426574707,0.22234511375427246,1.4969568252563477,2,0.2280925214290619,0.07495035231113434,0.08095717430114746,0.13126182556152344,399,0.4378199279308319,0.04069366306066513,
0.5553256869316101,28.486038208007812,0.9267425537109375,3.276268243789673,0.2828652858734131,1.8007450103759766,2,0.22908815741539001,0.07307393103837967,0.0814170092344284,0.13957209885120392,449,0.4385491907596588,0.04101290553808212,
,,,,,,3,0.2207304835319519,0.06880015134811401,0.07982875406742096,0.13358266651630402,499,0.4158748984336853,0.033157214522361755,
0.6604261994361877,37.41065979003906,1.4622364044189453,5.166861057281494,0.2830028533935547,1.5141737461090088,3,0.2237667441368103,0.07321721315383911,0.08006370812654495,0.13894660770893097,549,0.41837725043296814,0.027434945106506348,
0.5370111465454102,27.10455894470215,0.8590559959411621,3.0594606399536133,0.28078675270080566,1.8621586561203003,3,0.23919987678527832,0.07125461101531982,0.07913761585950851,0.1427966058254242,599,0.4455382525920868,0.04166647046804428,
,,,,,,4,0.20804065465927124,0.07593972980976105,0.08184730261564255,0.14366783201694489,649,0.42793864011764526,0.04774416238069534,
0.5859814286231995,32.024227142333984,1.106992244720459,4.024751663208008,0.27504611015319824,1.7065386772155762,4,0.22450989484786987,0.06445754319429398,0.07487224787473679,0.13362105190753937,699,0.4052955210208893,0.028093719854950905,
0.652035653591156,29.148841857910156,1.1206128597259521,3.7159390449523926,0.30156922340393066,1.5336583852767944,4,0.19141867756843567,0.07628520578145981,0.08038727194070816,0.1450759619474411,749,0.38419830799102783,0.021599574014544487,
0.38677942752838135,34.485694885253906,0.852062463760376,3.4071905612945557,0.2500777244567871,2.5854530334472656,4,0.19863587617874146,0.07064763456583023,0.0762740969657898,0.13896606862545013,799,0.38124215602874756,0.021787937730550766,
,,,,,,5,0.1996573805809021,0.06951464712619781,0.07569681853055954,0.13910768926143646,849,0.38004112243652344,0.021261505782604218,
0.6790124177932739,46.98091125488281,2.6013450622558594,11.03590202331543,0.2357165813446045,1.4727271795272827,5,0.19563980400562286,0.062107883393764496,0.07354649901390076,0.13294179737567902,899,0.36745592951774597,0.022867541760206223,
0.7312178611755371,20.143625259399414,1.1087260246276855,2.6482765674591064,0.4186594486236572,1.3675814867019653,5,0.19256362318992615,0.06821367144584656,0.07541501522064209,0.13786882162094116,949,0.36787837743759155,0.017899177968502045,
,,,,,,6,0.1948322355747223,0.06876169890165329,0.07765775173902512,0.1439463496208191,999,0.37066158652305603,0.01501524168998003,
0.6457833051681519,30.8853816986084,0.9793236255645752,4.48410701751709,0.2183988094329834,1.5485070943832397,6,0.1840030550956726,0.07044766843318939,0.07682359963655472,0.14188417792320251,1049,0.3618764281272888,0.016413677483797073,
0.7736392021179199,18.741073608398438,1.233945608139038,2.457277774810791,0.502159595489502,1.292592167854309,6,0.19631081819534302,0.06244286522269249,0.07247006893157959,0.13436032831668854,1099,0.3628849983215332,0.01822521910071373,
,,,,,,7,0.19160719215869904,0.06088346615433693,0.07264520972967148,0.13232724368572235,1149,0.3523811995983124,0.014012597501277924,
0.6358959674835205,41.56401824951172,1.2267167568206787,5.652885913848877,0.21700716018676758,1.5725842714309692,7,0.20733526349067688,0.08061662316322327,0.07582651078701019,0.14205558598041534,1199,0.39599406719207764,0.018010128289461136,
0.7077246904373169,62.98342514038086,3.5472910404205322,9.769990921020508,0.3630802631378174,1.4129788875579834,7,0.1963375359773636,0.06988955289125443,0.07595491409301758,0.1458141803741455,1249,0.372358500957489,0.015595067292451859,
,,,,,,8,0.18865448236465454,0.06222561001777649,0.07614274322986603,0.14329853653907776,1299,0.35929280519485474,0.01794012449681759,
0.6883991360664368,29.191604614257812,1.1204261779785156,4.326642036437988,0.2589597702026367,1.4526455402374268,8,0.16770295798778534,0.06538522243499756,0.07632074505090714,0.14270848035812378,1349,0.34099307656288147,0.017313335090875626,
0.6918318271636963,22.85098648071289,0.985318660736084,2.6476829051971436,0.3721437454223633,1.4454379081726074,8,0.1763528734445572,0.06493928283452988,0.0744268149137497,0.13813504576683044,1399,0.34352049231529236,0.013988029211759567,
