batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_main_loss,val_main_loss
,,,,,,0,49,10.150415420532227,
0.4373878836631775,144.66317749023438,4.5920305252075195,38.800262451171875,0.11835050582885742,2.2863001823425293,0,99,6.097582817077637,
0.30145329236984253,53.924163818359375,1.0095887184143066,6.5740485191345215,0.15357184410095215,3.317263603210449,0,149,4.182577610015869,
,,,,,,1,199,2.946382522583008,
0.3693147897720337,79.51892852783203,1.3901255130767822,11.245928764343262,0.1236114501953125,2.707717180252075,1,249,2.234391212463379,
0.264403760433197,21.62291717529297,0.44204163551330566,2.2578125,0.19578313827514648,3.7820944786071777,1,299,2.5251803398132324,
0.227229043841362,20.10172462463379,0.40899181365966797,2.382427453994751,0.17167019844055176,4.400846004486084,1,349,2.1157712936401367,
,,,,,,2,399,1.448755145072937,
0.41717103123664856,52.409576416015625,1.2016267776489258,6.77609920501709,0.17733311653137207,2.3970983028411865,2,449,1.6788723468780518,
0.4864543676376343,47.84688949584961,1.189502239227295,5.795698165893555,0.20523881912231445,2.0556912422180176,2,499,1.824700117111206,
,,,,,,3,549,1.214582920074463,
0.3487934470176697,45.20446014404297,0.7323122024536133,5.801970481872559,0.12621784210205078,2.8670263290405273,3,599,1.334648847579956,
0.25766587257385254,26.76214599609375,0.4534151554107666,2.3545620441436768,0.19256877899169922,3.880995035171509,3,649,1.4518907070159912,
0.19759979844093323,18.312467575073242,0.3462860584259033,2.829756259918213,0.12237310409545898,5.060733795166016,3,699,1.782432198524475,
,,,,,,4,749,1.2952500581741333,
0.39995360374450684,38.71986389160156,0.87375807762146,4.454809665679932,0.1961381435394287,2.5002899169921875,4,799,1.3820585012435913,
0.4954507648944855,105.26449584960938,3.888947010040283,26.4645938873291,0.14694905281066895,2.0183639526367188,4,849,1.1453685760498047,
0.23612406849861145,33.6874885559082,0.49760937690734863,3.81943941116333,0.13028335571289062,4.2350616455078125,4,899,1.0327415466308594,
,,,,,,5,949,0.9442058801651001,
0.3609992563724518,43.912357330322266,0.8935401439666748,7.247631072998047,0.12328720092773438,2.7700889110565186,5,999,1.0430186986923218,
0.3572802245616913,32.289268493652344,0.5838785171508789,3.377471446990967,0.17287445068359375,2.7989232540130615,5,1049,1.5361766815185547,
,,,,,,6,1099,1.3237037658691406,
0.3999039828777313,52.60794448852539,0.9836235046386719,7.8614606857299805,0.12511968612670898,2.5006003379821777,6,1149,0.8916068077087402,
0.34778329730033875,34.71246337890625,0.8136358261108398,4.172008037567139,0.1950225830078125,2.8753538131713867,6,1199,1.1882292032241821,
0.31251025199890137,29.021154403686523,0.5149140357971191,2.460608959197998,0.20926284790039062,3.199894905090332,6,1249,1.1848728656768799,
,,,,,,7,1299,1.4199239015579224,
0.26129499077796936,34.1744384765625,0.5843932628631592,3.3360095024108887,0.17517733573913574,3.827092170715332,7,1349,0.932957649230957,
0.44858410954475403,34.47505187988281,0.8406882286071777,4.164646625518799,0.20186305046081543,2.229236364364624,7,1399,0.9661619663238525,
,,,,,,8,1449,0.962710976600647,
0.3987462520599365,49.59141540527344,1.0908396244049072,5.952075958251953,0.18327045440673828,2.5078606605529785,8,1499,1.038040280342102,
0.45587000250816345,47.467647552490234,1.3684430122375488,7.287095069885254,0.1877899169921875,2.193607807159424,8,1549,1.0188040733337402,
0.3329153060913086,44.59335708618164,0.5855650901794434,5.1135711669921875,0.11451196670532227,3.0037667751312256,8,1599,1.035434365272522,
,,,,,,9,1649,1.1203851699829102,
0.28802722692489624,62.492408752441406,1.1634221076965332,9.240543365478516,0.12590408325195312,3.4718940258026123,9,1699,1.0790364742279053,
0.2269129902124405,24.469711303710938,0.46504974365234375,3.4656660556793213,0.1341876983642578,4.406975269317627,9,1749,0.9905508756637573,
0.2284887135028839,25.170181274414062,0.4759409427642822,3.0859286785125732,0.15422940254211426,4.376583576202393,9,1799,0.7297906875610352,
,,,,,,10,1849,1.1549861431121826,
0.2663200795650482,31.339204788208008,0.6936321258544922,3.5637600421905518,0.19463491439819336,3.75488018989563,10,1899,1.0302650928497314,
0.2444102168083191,22.567398071289062,0.4099996089935303,3.2294504642486572,0.12695646286010742,4.091482162475586,10,1949,0.7880347967147827,
,,,,,,11,1999,0.8539704084396362,
,,,,,,11,1999,,0.6805575489997864
