batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,train_vae_loss
,,,,,,0,55.80757141113281,163.16522216796875,160.3289337158203,49,389.4072570800781,10.105510711669922
0.4234360158443451,48.89617919921875,1.3947978019714355,6.143425464630127,0.22703909873962402,2.3616318702697754,0,56.06043243408203,137.6658935546875,161.37164306640625,99,360.09002685546875,4.99207878112793
0.2966333031654358,18.900083541870117,0.4950110912322998,2.180189371109009,0.2270495891571045,3.3711657524108887,0,59.62034606933594,160.6044158935547,161.53408813476562,149,385.1533203125,3.394463062286377
,,,,,,1,54.94437789916992,142.69210815429688,163.90045166015625,199,365.439208984375,3.902278184890747
0.3287794291973114,42.00886917114258,1.0925993919372559,5.141751289367676,0.2124955654144287,3.041552782058716,1,60.39992141723633,146.12261962890625,156.89410400390625,249,366.3005065917969,2.883845806121826
0.28711679577827454,14.478477478027344,0.4420764446258545,2.1216325759887695,0.20836615562438965,3.482903242111206,1,59.38711166381836,160.05580139160156,166.02725219726562,299,388.2416076660156,2.7714576721191406
