batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_DE_loss,train_cons_loss,train_direction_loss,train_loss,val_loss
,,,,,,0,49,610781.0,0.0046437764540314674,0.14370113611221313,610781.125,
0.20724813640117645,39.881309509277344,0.68831467628479,5.609694004058838,0.12270092964172363,4.825133800506592,0,99,692589.3125,0.006420953664928675,0.09552299976348877,692589.4375,
0.20447640120983124,25.207975387573242,0.33682918548583984,2.8165600299835205,0.11958885192871094,4.89054012298584,0,149,590420.4375,0.006709008943289518,0.08992717415094376,590420.5,
,,,,,,1,199,503885.25,0.006583081092685461,0.07698295265436172,503885.3125,
0.1613403707742691,42.43190383911133,0.3304595947265625,4.3174357414245605,0.07654070854187012,6.1980767250061035,1,249,591115.0,0.006099760066717863,0.12816892564296722,591115.125,
0.2178828865289688,24.95738410949707,0.35083889961242676,2.7677724361419678,0.12675857543945312,4.589621543884277,1,299,551923.0,0.005601025186479092,0.1017879992723465,551923.125,
0.1857219785451889,21.684478759765625,0.2589852809906006,2.1881625652313232,0.11835741996765137,5.384392261505127,1,349,565424.5,0.005604360718280077,0.0866161435842514,565424.5625,
,,,,,,2,399,504837.875,0.004282320383936167,0.11491818726062775,504838.0,
0.16137678921222687,35.36655807495117,0.34185099601745605,4.426170825958252,0.07723402976989746,6.1966776847839355,2,449,485564.84375,0.004651462193578482,0.09019885957241058,485564.9375,
0.21687160432338715,24.927202224731445,0.4031519889831543,3.1483402252197266,0.1280522346496582,4.611023426055908,2,499,511836.375,0.004638184793293476,0.12449739128351212,511836.5,
,,,,,,3,549,658007.75,0.005251837428659201,0.11294982582330704,658007.875,
0.17371608316898346,37.24980545043945,0.3189723491668701,4.276439666748047,0.07458829879760742,5.756519317626953,3,599,553381.875,0.005037554539740086,0.10098939388990402,553382.0,
0.22313131392002106,23.95984649658203,0.36990833282470703,3.0439512729644775,0.12152242660522461,4.48166561126709,3,649,518908.4375,0.004714576527476311,0.08178718388080597,518908.53125,
0.19714270532131195,20.40928077697754,0.30460429191589355,2.5977942943573,0.11725497245788574,5.07246732711792,3,699,343393.78125,0.003130549332126975,0.08822734653949738,343393.875,
,,,,,,4,749,451339.875,0.004075753502547741,0.11889589577913284,451340.0,
0.1704440414905548,39.851680755615234,0.33959436416625977,4.61134672164917,0.07364320755004883,5.86702823638916,4,799,418526.0625,0.004142367281019688,0.08241934329271317,418526.15625,
0.19731618463993073,22.54180908203125,0.30053138732910156,2.849907875061035,0.1054530143737793,5.068007946014404,4,849,413305.5625,0.004482178948819637,0.08267172425985336,413305.65625,
0.2274949699640274,46.46220016479492,0.8814454078674316,7.0361433029174805,0.1252739429473877,4.3957014083862305,4,899,479691.125,0.004753849934786558,0.11261598020792007,479691.25,
,,,,,,5,949,431316.46875,0.004220740869641304,0.09268910437822342,431316.5625,
0.1709301471710205,34.24153137207031,0.3349170684814453,3.8363583087921143,0.08730077743530273,5.850343227386475,5,999,478197.71875,0.004403743892908096,0.07979367673397064,478197.8125,
0.20803624391555786,24.39429473876953,0.3445417881011963,2.760172128677368,0.12482619285583496,4.806854724884033,5,1049,447794.78125,0.003687788499519229,0.0825757086277008,447794.875,
,,,,,,6,1099,368443.125,0.003983670379966497,0.06979981064796448,368443.1875,
0.18041932582855225,42.30119705200195,0.46765828132629395,5.64105224609375,0.08290266990661621,5.5426435470581055,6,1149,418652.4375,0.004250071477144957,0.1120181456208229,418652.5625,
0.19679485261440277,22.53357696533203,0.3118748664855957,2.450929880142212,0.12724757194519043,5.0814337730407715,6,1199,394299.875,0.004249440506100655,0.0910608097910881,394299.96875,
0.22067731618881226,55.915218353271484,1.041611671447754,7.487293720245361,0.13911724090576172,4.531503200531006,6,1249,427681.71875,0.003874856745824218,0.07974979281425476,427681.8125,
,,,,,,7,1299,394550.09375,0.0034499068278819323,0.0989287793636322,394550.1875,
0.186237633228302,39.13451385498047,0.3663289546966553,3.750714063644409,0.09766912460327148,5.369483947753906,7,1349,394125.125,0.00362214632332325,0.0807141587138176,394125.21875,
0.19459614157676697,24.19002342224121,0.39116430282592773,2.964250087738037,0.13196063041687012,5.138847827911377,7,1399,418940.84375,0.004361058585345745,0.11298785358667374,418940.96875,
,,,,,,8,1449,596168.6875,0.004770692903548479,0.10294710844755173,596168.8125,
0.1773827224969864,42.78068542480469,0.3672041893005371,4.654855251312256,0.07888627052307129,5.637527942657471,8,1499,478036.6875,0.004294238053262234,0.09205896407365799,478036.78125,
0.1526692807674408,28.030771255493164,0.2407979965209961,2.851576805114746,0.08444380760192871,6.550106525421143,8,1549,483264.5,0.0037969087716192007,0.07931943982839584,483264.59375,
0.23016050457954407,52.79031753540039,1.036789894104004,6.7334113121032715,0.1539769172668457,4.344793796539307,8,1599,310855.75,0.0030557038262486458,0.08468890190124512,310855.84375,
,,,,,,9,1649,416916.625,0.0037696976214647293,0.1121312752366066,416916.75,
0.1876414567232132,35.959415435791016,0.5104517936706543,5.371112823486328,0.09503650665283203,5.329312801361084,9,1699,396367.0,0.003682743525132537,0.08252085000276566,396367.09375,
0.1844506859779358,22.371078491210938,0.3124845027923584,2.6668436527252197,0.11717391014099121,5.421503067016602,9,1749,364573.375,0.0038256272673606873,0.08044012635946274,364573.46875,
0.19101329147815704,27.213376998901367,0.31705498695373535,3.188929319381714,0.09942364692687988,5.235238075256348,9,1799,469409.40625,0.004775613080710173,0.10792122036218643,469409.5,
,,,,,,10,1849,407586.15625,0.0036340595688670874,0.08996763825416565,407586.25,
