batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train/vae_loss,train_main_loss,val_main_loss
,,,,,,0,49,0.32083481550216675,12.499646186828613,
0.4065459370613098,133.88681030273438,4.152661323547363,20.600801467895508,0.20157766342163086,2.4597465991973877,0,99,0.27001309394836426,5.581835746765137,
0.26908019185066223,41.23316955566406,0.7149701118469238,5.156346321105957,0.1386582851409912,3.7163641452789307,0,149,0.15256717801094055,4.6408586502075195,
,,,,,,1,199,0.13969799876213074,3.580691337585449,
0.30353009700775146,64.13369750976562,1.380661964416504,7.8739013671875,0.17534661293029785,3.2945661544799805,1,249,0.11228575557470322,2.505563497543335,
0.23587685823440552,29.777772903442383,0.4192383289337158,3.281233549118042,0.12776851654052734,4.239500045776367,1,299,0.08818874508142471,1.957548975944519,
0.32691630721092224,36.375831604003906,0.7230672836303711,3.5819778442382812,0.20186257362365723,3.058887004852295,1,349,0.0729065090417862,2.205936908721924,
,,,,,,2,399,0.0653282105922699,1.9051868915557861,
0.2967800498008728,42.18807601928711,0.9366388320922852,6.759652614593506,0.1385631561279297,3.3694989681243896,2,449,0.051235318183898926,1.514452338218689,
0.41547778248786926,39.874237060546875,0.820972204208374,4.0390448570251465,0.20325899124145508,2.406867504119873,2,499,0.045401349663734436,1.4000954627990723,
,,,,,,3,549,0.04655446112155914,1.4420437812805176,
0.35094887018203735,45.318973541259766,0.8530981540679932,4.1190361976623535,0.20711112022399902,2.8494179248809814,3,599,0.03597883880138397,0.9815934896469116,
0.26099613308906555,44.578372955322266,0.6804053783416748,5.193516731262207,0.1310105323791504,3.831474542617798,3,649,0.03056185320019722,1.0211255550384521,
0.46924182772636414,33.43880844116211,0.9032583236694336,4.291163921356201,0.21049261093139648,2.1310973167419434,3,699,0.03466375172138214,1.0696192979812622,
,,,,,,4,749,0.03823284059762955,1.3556275367736816,
0.5023497939109802,74.78450775146484,3.0516536235809326,13.61854076385498,0.22408080101013184,1.9906448125839233,4,799,0.025937892496585846,0.8979779481887817,
0.4281570017337799,42.20231628417969,0.9567477703094482,4.664422035217285,0.20511603355407715,2.3355917930603027,4,849,0.024777662009000778,0.8199596405029297,
0.42635536193847656,27.04616355895996,0.7606873512268066,3.193690299987793,0.23818445205688477,2.345461368560791,4,899,0.023000996559858322,0.861894965171814,
,,,,,,5,949,0.028009695932269096,1.3120498657226562,
0.35257887840270996,52.92607498168945,1.0042853355407715,5.467139720916748,0.18369483947753906,2.836244821548462,5,999,0.03241229057312012,1.092673420906067,
0.3303191065788269,41.676490783691406,0.7564873695373535,4.282851696014404,0.17663168907165527,3.0273756980895996,5,1049,0.023428497835993767,0.8599529266357422,
,,,,,,6,1099,0.027423705905675888,1.299487590789795,
0.37201666831970215,61.53337860107422,1.449824333190918,11.093605041503906,0.1306900978088379,2.688051700592041,6,1149,0.023393817245960236,0.8750864267349243,
0.6814007759094238,39.701725006103516,1.3983018398284912,6.286440372467041,0.22243142127990723,1.4675651788711548,6,1199,0.022925719618797302,0.8419601321220398,
0.42938297986984253,63.79648971557617,1.440251350402832,8.969568252563477,0.16057085990905762,2.328923225402832,6,1249,0.02640288881957531,1.1775174140930176,
,,,,,,7,1299,0.029156800359487534,1.3088653087615967,
0.41371089220046997,61.13346862792969,2.2256531715393066,13.84897232055664,0.16070890426635742,2.417146921157837,7,1349,0.026990842074155807,1.0443825721740723,
0.566959023475647,33.659034729003906,1.0372934341430664,4.775059700012207,0.21723151206970215,1.7637958526611328,7,1399,0.021035652607679367,0.908597469329834,
,,,,,,8,1449,0.023456187918782234,1.0871267318725586,
0.48895612359046936,58.97415542602539,1.3936657905578613,8.65307903289795,0.16106009483337402,2.045173406600952,8,1499,0.02383597567677498,0.7696386575698853,
0.3083421587944031,31.42391586303711,0.6062471866607666,2.691176414489746,0.22527217864990234,3.243150472640991,8,1549,0.02001200243830681,0.7843905687332153,
0.24897637963294983,23.902103424072266,0.510333776473999,3.836872100830078,0.13300776481628418,4.016445159912109,8,1599,0.018346991389989853,0.8791699409484863,
,,,,,,9,1649,0.02524293214082718,1.187851071357727,
0.3829813301563263,66.67583465576172,1.6925420761108398,9.327986717224121,0.18144774436950684,2.611093282699585,9,1699,0.029112808406352997,0.7476276755332947,
0.2674228847026825,30.065488815307617,0.5239520072937012,2.698415756225586,0.19417023658752441,3.7393958568573,9,1749,0.01719490811228752,0.7203894853591919,
0.3119750916957855,50.35831832885742,0.7581775188446045,5.156120300292969,0.14704418182373047,3.2053840160369873,9,1799,0.021073995158076286,0.7202539443969727,
,,,,,,10,1849,0.021107135340571404,1.160017490386963,
0.45894694328308105,47.98011779785156,1.0480096340179443,6.806277751922607,0.1539769172668457,2.178901195526123,10,1899,0.021688394248485565,0.9429258108139038,
0.5286848545074463,43.69755935668945,0.9687623977661133,4.445756912231445,0.21790719032287598,1.8914860486984253,10,1949,0.020998358726501465,0.767978310585022,
,,,,,,11,1999,0.027645276859402657,1.2310584783554077,
,,,,,,11,1999,,,0.7749305367469788
