batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,step,train_loss,train_main_loss,train_vae_loss,val_loss
,,,,,,0,49,2.7144787311553955,2.5098812580108643,0.20459747314453125,
0.15575715899467468,101.72216796875,1.2343251705169678,16.09275245666504,0.07670068740844727,6.420250415802002,0,99,1.8927536010742188,1.7573487758636475,0.13540488481521606,
0.1274697631597519,30.847835540771484,0.22757744789123535,3.5433766841888428,0.06422615051269531,7.844997882843018,0,149,1.9277417659759521,1.8290718793869019,0.09866984933614731,
,,,,,,1,199,1.99570894241333,1.9118130207061768,0.08389595150947571,
0.16912083327770233,100.40328979492188,1.4416472911834717,18.73280906677246,0.07695841789245605,5.9129319190979,1,249,2.632929801940918,2.266993522644043,0.36593639850616455,
0.13214735686779022,25.30892562866211,0.22476840019226074,3.5581400394439697,0.06317019462585449,7.567310333251953,1,299,4.90977668762207,3.2940213680267334,1.615755319595337,
,,,,,,2,349,2.7588601112365723,2.5624547004699707,0.19640541076660156,
0.14265158772468567,31.173202514648438,0.2266993522644043,3.288076639175415,0.06894588470458984,7.010087013244629,2,399,2.8061349391937256,2.713775157928467,0.09235977381467819,
0.13189753890037537,28.028806686401367,0.20543885231018066,3.1398301124572754,0.0654299259185791,7.581642150878906,2,449,2.255054473876953,2.16050124168396,0.09455317258834839,
,,,,,,3,499,1.9568825960159302,1.8221802711486816,0.13470235466957092,
0.1323884129524231,40.080116271972656,0.2939882278442383,4.539409160614014,0.06476354598999023,7.553531169891357,3,549,1.470245122909546,1.3977296352386475,0.07251545786857605,
0.14584790170192719,25.592037200927734,0.22901487350463867,2.6687207221984863,0.0858144760131836,6.8564581871032715,3,599,1.5713330507278442,1.5051391124725342,0.06619391590356827,
,,,,,,4,649,1.8168301582336426,1.722591757774353,0.09423835575580597,
0.1460435390472412,38.01985168457031,0.2622213363647461,3.741295099258423,0.07008838653564453,6.847272872924805,4,699,1.2057878971099854,1.1366090774536133,0.06917877495288849,
0.14374889433383942,27.651592254638672,0.2193000316619873,3.29195237159729,0.06661701202392578,6.956575393676758,4,749,1.1890660524368286,1.1327486038208008,0.05631745234131813,
0.11052153259515762,22.151771545410156,0.16242265701293945,2.5016064643859863,0.06492733955383301,9.04801082611084,4,799,1.46257746219635,1.426706314086914,0.03587112948298454,
,,,,,,5,849,1.3023548126220703,1.238355040550232,0.06399978697299957,
0.1464051902294159,38.769535064697266,0.34096384048461914,5.206690311431885,0.06548571586608887,6.830358982086182,5,899,1.437997817993164,1.3546369075775146,0.0833609327673912,
0.1247987300157547,30.378786087036133,0.25414133071899414,3.5080630779266357,0.07244491577148438,8.01290225982666,5,949,2.4307901859283447,2.1894731521606445,0.24131694436073303,
,,,,,,6,999,1.3993605375289917,1.305037498474121,0.0943230539560318,
0.1389913260936737,39.85198211669922,0.27869343757629395,4.0761189460754395,0.06837224960327148,7.194693088531494,6,1049,1.050320029258728,0.9755755662918091,0.07474444061517715,
0.14395539462566376,24.84883689880371,0.2068653106689453,2.7174031734466553,0.0761260986328125,6.946596145629883,6,1099,1.4167289733886719,1.3536463975906372,0.06308253854513168,
,,,,,,7,1149,1.2935917377471924,1.2516664266586304,0.04192536696791649,
0.14995670318603516,32.19965744018555,0.30530309677124023,3.732475519180298,0.08179640769958496,6.668591499328613,7,1199,1.2404814958572388,1.1644906997680664,0.07599083334207535,
0.15050780773162842,27.141738891601562,0.22505640983581543,2.5669784545898438,0.08767366409301758,6.644173622131348,7,1249,0.9982512593269348,0.9703657627105713,0.02788548171520233,
,,,,,,8,1299,1.088979721069336,1.0169053077697754,0.07207436859607697,
0.222058966755867,38.514766693115234,0.5028281211853027,5.822177886962891,0.0863642692565918,4.503308296203613,8,1349,1.21759033203125,1.169567346572876,0.04802299290895462,
0.3294515609741211,33.644344329833984,0.5986430644989014,4.8889970779418945,0.12244701385498047,3.0353477001190186,8,1399,1.235457181930542,1.2091939449310303,0.026263246312737465,
0.37172195315361023,28.798173904418945,0.6674518585205078,3.291975498199463,0.20275115966796875,2.69018292427063,8,1449,1.1091537475585938,1.0805948972702026,0.028558844700455666,
,,,,,,9,1499,1.5498090982437134,1.521506905555725,0.02830219268798828,
0.43519631028175354,30.00979232788086,0.8587322235107422,4.9805908203125,0.17241573333740234,2.297813653945923,9,1549,1.670662522315979,1.6410958766937256,0.029566612094640732,
0.4869331121444702,21.54628562927246,0.7118785381317139,2.8980586528778076,0.24563980102539062,2.0536701679229736,9,1599,1.1875399351119995,1.1595354080200195,0.028004474937915802,
,,,,,,10,1649,1.2866545915603638,1.2593846321105957,0.027269918471574783,
0.4770943224430084,25.942256927490234,0.811638593673706,3.792513847351074,0.21401071548461914,2.0960216522216797,10,1699,1.0193034410476685,0.9929314851760864,0.026372013613581657,
0.39722779393196106,28.054542541503906,0.6872472763061523,3.1295995712280273,0.21959590911865234,2.5174472332000732,10,1749,1.1473740339279175,1.1192817687988281,0.028092239052057266,
,,,,,,11,1799,0.958815336227417,0.9401983022689819,0.018617015331983566,
0.4874087870121002,33.033023834228516,0.9406037330627441,5.6641435623168945,0.1660628318786621,2.051666021347046,11,1849,1.1339871883392334,1.10745370388031,0.026533491909503937,
0.5319913625717163,23.161897659301758,0.7834334373474121,2.6915130615234375,0.2910754680633545,1.8797298669815063,11,1899,1.018909215927124,0.9866461753845215,0.032263100147247314,
,,,,,,12,1949,2.331925392150879,2.026989459991455,0.30493593215942383,
