batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,cumulative_flops,cumulative_flops_val_sync,decoder_loss,epoch,flops_per_batch,mfu (%),step,train/gradient_norm,train_loss,val/decoder_loss,val_loss
,,,,,,281.0367431640625,48987537145856.0,,2.079008102416992,0,979750748160.0,7.170467853546143,49,3.6101951599121094,0.7735874652862549,,
0.11388146877288818,242.90904235839844,2.0637869834899902,48.796180725097656,0.04229402542114258,8.781060218811035,336.76605224609375,97975074291712.0,,1.5170011520385742,0,979750748160.0,8.592364311218262,99,3.163361072540283,0.3933084309101105,,
,,,,,,,146962607243264.0,,2.0946946144104004,1,,,149,3.462555408477783,0.46173039078712463,,
0.07061034440994263,97.45428466796875,0.6572394371032715,24.915149688720703,0.026379108428955078,14.162230491638184,305.662109375,195950148583424.0,,1.3885712623596191,1,,7.798767566680908,199,3.925016403198242,0.24498437345027924,,
0.0738915428519249,25.703920364379883,0.12177538871765137,2.970381259918213,0.040996551513671875,13.533348083496094,676.5394897460938,244937689923584.0,,1.377517819404602,1,,17.26146125793457,249,4.677942752838135,0.2188529223203659,,
,,,,,,,293925214486528.0,,1.2239601612091064,2,,,299,3.405339241027832,0.21388374269008636,,
0.05910593643784523,37.88941955566406,0.13234782218933105,5.544029235839844,0.02387213706970215,16.918773651123047,178.92251586914062,342912772603904.0,,1.065293550491333,2,,4.565090179443359,349,3.5204195976257324,0.16215193271636963,,
0.06948263198137283,24.23491096496582,0.11836671829223633,3.0268073081970215,0.039106130599975586,14.392086029052734,250.9484405517578,391900297166848.0,,1.1644816398620605,2,,6.40278434753418,399,4.455613613128662,0.25849345326423645,,
,,,,,,171.61680603027344,440887821729792.0,,1.4414258003234863,3,,3.1295409202575684,449,4.451749324798584,0.22903287410736084,,
0.05412794277071953,46.1386833190918,0.14349794387817383,5.993447780609131,0.02394247055053711,18.474746704101562,315.7131042480469,489875379847168.0,,1.0729975700378418,3,,8.05521297454834,499,6.034667491912842,0.12065009772777557,,
0.08612675219774246,43.017295837402344,0.22008872032165527,4.755673408508301,0.046279191970825195,11.610794067382812,356.5554504394531,538862904410112.0,,1.182115077972412,3,,9.097278594970703,549,2.2047038078308105,0.11399126052856445,,
,,,,,,212.93397521972656,587850428973056.0,,1.1593666076660156,4,,3.8829853534698486,599,5.309102535247803,0.10781095176935196,,
0.06277017295360565,78.4494400024414,0.4951205253601074,20.79534912109375,0.023809194564819336,15.931134223937988,528.0762329101562,636837953536000.0,,1.1035560369491577,4,,13.473517417907715,649,2.617713451385498,0.09891049563884735,,
0.07814725488424301,36.67894744873047,0.1560347080230713,4.39719820022583,0.035485029220581055,12.796355247497559,272.56695556640625,685825545207808.0,,1.032926321029663,4,,6.954366207122803,699,2.2672412395477295,0.10218000411987305,,
,,,,,,178.66207885742188,734813069770752.0,,1.0379149913787842,5,,3.2580158710479736,749,11.025458335876465,0.0968368723988533,,
0.060095611959695816,42.57459259033203,0.13150477409362793,5.58847188949585,0.023531436920166016,16.64015007019043,260.14599609375,783800594333696.0,,1.02955162525177,5,,6.637454509735107,799,2.155599594116211,0.07522116601467133,,
0.07760071009397507,32.465126037597656,0.15158843994140625,4.011862754821777,0.03778505325317383,12.886480331420898,196.0169219970703,832788118896640.0,,0.9273726344108582,5,,5.0012431144714355,849,2.565216064453125,0.06287276744842529,,
,,,,,,232.71470642089844,881775643459584.0,,1.2516840696334839,6,,5.937562465667725,899,3.099722385406494,0.11758706718683243,,
0.06905004382133484,48.00459289550781,0.20185518264770508,8.522841453552246,0.023684024810791016,14.482250213623047,730.9800415039062,930763235131392.0,,1.0705344676971436,6,,18.650474548339844,949,3.205662965774536,0.06685196608304977,,
0.0683731660246849,20.273021697998047,0.10056781768798828,2.6450040340423584,0.03802180290222168,14.62562084197998,230.62051391601562,979750759694336.0,,1.2385801076889038,6,,5.884130954742432,999,3.823535680770874,0.07538073509931564,,
,,,,,,272.92974853515625,1028738284257280.0,,0.9816750288009644,7,,6.963623523712158,1049,5.656870365142822,0.07206474244594574,,
0.06851989775896072,115.39959716796875,0.8161351680755615,30.920249938964844,0.02639484405517578,14.594301223754883,300.39178466796875,1077725808820224.0,,1.0770256519317627,7,,7.664299011230469,1099,1.3248602151870728,0.059557147324085236,,
0.0714891254901886,21.639202117919922,0.11921238899230957,3.338806629180908,0.0357050895690918,13.988141059875488,319.7513732910156,1126713400492032.0,,1.162705421447754,7,,8.158246040344238,1149,3.468864679336548,0.14517438411712646,,
,,,,,,388.6600036621094,1175700857946112.0,,1.1173298358917236,8,,9.916404724121094,1199,2.5180091857910156,0.06900322437286377,,
0.06276395916938782,45.617218017578125,0.20713376998901367,8.706888198852539,0.023789644241333008,15.932710647583008,322.2703552246094,1224688449617920.0,,1.1318620443344116,8,,8.222516059875488,1249,1.6106441020965576,0.07237040996551514,,
0.06845224648714066,27.045312881469727,0.11082768440246582,3.302863359451294,0.033555030822753906,14.608724594116211,392.2994079589844,1273675907072000.0,,0.9510433673858643,8,,10.009261131286621,1299,2.197430372238159,0.05144459754228592,,
,,,,,,189.9595947265625,1322663498743808.0,,1.1848810911178589,9,,4.846693992614746,1349,3.6639254093170166,0.06971894204616547,,
0.06765080988407135,61.845603942871094,0.22083449363708496,9.326355934143066,0.02367854118347168,14.781789779663086,228.1044921875,1371651090415616.0,,1.1663179397583008,9,,5.8199357986450195,1399,1.6225439310073853,0.06763629615306854,,
