batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,train_vae_loss,val_loss
,,,,,,0,59.785667419433594,153.70689392089844,168.21633911132812,49,386.3619689941406,4.653065204620361,
0.4801655411720276,87.56964874267578,2.2712674140930176,9.889694213867188,0.2296600341796875,2.0826151371002197,0,60.29655075073242,154.6615447998047,162.872802734375,99,382.0204162597656,4.189530372619629,
,,,,,,1,63.147430419921875,171.45144653320312,167.1502685546875,149,405.89923095703125,4.150087356567383,
0.33679407835006714,49.65131378173828,1.2029237747192383,6.057110786437988,0.19859695434570312,2.9691731929779053,1,62.18682098388672,153.47055053710938,167.94210815429688,199,387.00970458984375,3.4102602005004883,
0.26032963395118713,19.727489471435547,0.4292137622833252,2.060875415802002,0.2082676887512207,3.8412837982177734,1,63.336395263671875,142.25845336914062,167.13253784179688,249,375.84979248046875,3.122408866882324,
,,,,,,2,62.46186828613281,151.16293334960938,164.92013549804688,299,381.2967529296875,2.751819133758545,
0.3173454701900482,40.07822799682617,0.6753818988800049,3.431182622909546,0.1968364715576172,3.151139974594116,2,61.94708251953125,140.03330993652344,156.1258544921875,349,361.26806640625,3.161844491958618,
0.26093268394470215,15.394641876220703,0.3625366687774658,1.7386842966079712,0.2085120677947998,3.8324058055877686,2,65.40838623046875,155.75033569335938,165.86434936523438,399,389.74420166015625,2.721163272857666,
,,,,,,3,67.99411010742188,148.9583282470703,165.53521728515625,449,384.86505126953125,2.377385377883911,
0.31376874446868896,42.59884262084961,0.749619722366333,3.6808786392211914,0.20365238189697266,3.187060594558716,3,64.88107299804688,137.65643310546875,163.09217834472656,499,368.094970703125,2.465263843536377,
0.28612563014030457,27.617475509643555,0.5432353019714355,2.618194341659546,0.20748472213745117,3.4949684143066406,3,61.061744689941406,139.8769073486328,159.03089904785156,549,362.6142883300781,2.6447227001190186,
,,,,,,4,57.663475036621094,132.460693359375,156.23484802246094,599,348.81915283203125,2.4601430892944336,
0.3067239820957184,47.29803466796875,0.7746224403381348,3.739462375640869,0.20714807510375977,3.2602603435516357,4,58.501502990722656,137.73251342773438,154.6337890625,649,352.9480285644531,2.080244541168213,
0.2921180725097656,23.463430404663086,0.48390698432922363,2.306817054748535,0.20977258682250977,3.4232730865478516,4,72.10395812988281,150.52108764648438,171.83660888671875,699,396.50994873046875,2.04827880859375,
,,,,,,5,60.678924560546875,127.69725036621094,158.64566040039062,749,348.8882141113281,1.8664062023162842,
