batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,epoch,l_cov,l_mean,l_sd,step,train_loss,train_vae_loss,val_loss
,,,,,,0,63.52656555175781,165.3377227783203,163.642578125,49,397.51849365234375,5.0116424560546875,
0.44036057591438293,39.809913635253906,0.8705151081085205,3.6541831493377686,0.23822426795959473,2.2708663940429688,0,59.30255889892578,138.31326293945312,156.98992919921875,99,358.8129577636719,4.207217216491699,
0.30534985661506653,19.01323127746582,0.440826416015625,1.9491337537765503,0.2261652946472168,3.2749321460723877,0,61.089176177978516,165.28948974609375,164.50025939941406,149,394.9198303222656,4.04088830947876,
,,,,,,1,58.489295959472656,134.1953887939453,157.06533813476562,199,353.08514404296875,3.335103750228882,
0.3850981891155243,40.02102279663086,1.334472894668579,5.7235846519470215,0.2331533432006836,2.596740245819092,1,59.300785064697266,150.05685424804688,162.16885375976562,249,374.65924072265625,3.13275146484375,
0.2670072019100189,14.728933334350586,0.4015963077545166,1.9010319709777832,0.21125173568725586,3.7452175617218018,1,63.07870101928711,139.13031005859375,162.79513549804688,299,367.6058654785156,2.601705551147461,
,,,,,,2,63.809898376464844,142.6484832763672,159.32882690429688,349,369.3236083984375,3.5364456176757812,
0.34433794021606445,29.41319465637207,0.5753741264343262,2.701234817504883,0.21300411224365234,2.9041237831115723,2,61.40116882324219,144.90850830078125,163.7174072265625,399,373.2749938964844,3.2478911876678467,
0.2617237865924835,15.08613395690918,0.40343284606933594,1.9320672750473022,0.20880889892578125,3.82082200050354,2,62.218101501464844,132.75640869140625,164.24163818359375,449,361.8362731933594,2.620102882385254,
0.31581446528434753,16.236488342285156,0.38994264602661133,1.7126877307891846,0.22767877578735352,3.1664161682128906,2,63.863765716552734,134.26959228515625,160.4931640625,499,361.4204406738281,2.7939271926879883,
,,,,,,3,63.266231536865234,134.1146240234375,160.20721435546875,549,359.8945007324219,2.306441307067871,
0.335193008184433,39.5921745300293,0.8711731433868408,5.547523498535156,0.15703821182250977,2.983355760574341,3,61.08510971069336,152.30914306640625,161.90997314453125,599,377.6251525878906,2.3209269046783447,
0.2755924463272095,23.056472778320312,0.45775675773620605,2.1136977672576904,0.216566801071167,3.628546714782715,3,60.88036346435547,135.1500701904297,155.45596313476562,649,353.83270263671875,2.346299648284912,
,,,,,,4,65.74931335449219,143.48110961914062,164.80455017089844,699,376.2417907714844,2.206829786300659,
0.30440911650657654,32.85453414916992,0.5482237339019775,3.607347249984741,0.15197420120239258,3.285052537918091,4,64.19571685791016,140.9287872314453,164.66305541992188,749,372.0796203613281,2.2920584678649902,
0.3326987624168396,30.20096206665039,0.602288007736206,2.928057909011841,0.20569539070129395,3.0057218074798584,4,59.912567138671875,135.03097534179688,157.47235107421875,799,354.5380859375,2.1221823692321777,
,,,,,,5,64.93644714355469,143.8837127685547,161.14694213867188,849,371.9769592285156,2.009828567504883,
0.304148405790329,31.587129592895508,0.5579776763916016,3.7394392490386963,0.1492142677307129,3.2878687381744385,5,65.40006256103516,149.14524841308594,161.48577880859375,899,378.0575256347656,2.02646541595459,
0.37863868474960327,22.84414291381836,0.617504358291626,2.623516321182251,0.23537278175354004,2.641040086746216,5,54.51787185668945,115.7684326171875,157.3732147216797,949,329.27716064453125,1.6176173686981201,
0.2676604688167572,45.87241744995117,1.0778987407684326,4.788978099822998,0.22507905960083008,3.7360763549804688,5,56.14497375488281,116.80409240722656,158.57760620117188,999,333.5950927734375,2.068408250808716,
,,,,,,6,59.68248748779297,123.96603393554688,156.39959716796875,1049,341.9994201660156,1.9512908458709717,
0.3135082423686981,24.12398910522461,0.4918525218963623,3.1891956329345703,0.15422463417053223,3.189708709716797,6,62.816246032714844,124.65045166015625,166.54098510742188,1099,355.70697021484375,1.6992768049240112,
0.35991430282592773,22.760711669921875,0.55670166015625,2.4377007484436035,0.22837162017822266,2.7784390449523926,6,56.498199462890625,116.2109375,151.84320068359375,1149,326.2964782714844,1.7441420555114746,
,,,,,,7,64.09844207763672,136.50704956054688,162.7786102294922,1199,364.9704895019531,1.5864007472991943,
0.3386838436126709,24.47417449951172,0.4970104694366455,3.5164706707000732,0.14133787155151367,2.952605962753296,7,64.52262878417969,134.30593872070312,162.75531005859375,1249,363.3224792480469,1.7385762929916382,
0.34856969118118286,23.681846618652344,0.5949065685272217,2.6164112091064453,0.22737503051757812,2.8688669204711914,7,55.98933410644531,116.89527893066406,152.4220733642578,1299,326.72515869140625,1.4184720516204834,
,,,,,,8,58.07878112792969,121.69265747070312,154.95504760742188,1349,336.3262939453125,1.5997958183288574,
0.411695659160614,48.778621673583984,1.4426281452178955,9.922208786010742,0.14539384841918945,2.428978681564331,8,66.66291809082031,136.63348388671875,166.2681884765625,1399,371.15045166015625,1.5858738422393799,
0.29711905121803284,14.789634704589844,0.4524199962615967,1.962025761604309,0.23058819770812988,3.365654230117798,8,59.252906799316406,130.98052978515625,163.12106323242188,1449,354.8221435546875,1.467645525932312,
0.2265842854976654,12.551448822021484,0.29577064514160156,1.5032730102539062,0.19675111770629883,4.4133687019348145,8,57.248451232910156,118.80506134033203,157.15542602539062,1499,335.3918762207031,2.1829676628112793,
,,,,,,9,63.815452575683594,128.14645385742188,159.55810546875,1549,353.0252685546875,1.5052469968795776,
0.3904885947704315,36.329593658447266,0.7563381195068359,3.268537759780884,0.2313995361328125,2.560894250869751,9,60.28953552246094,125.63278198242188,158.9261474609375,1599,346.3379211425781,1.4894391298294067,
